# ells, tt, ee, bb, te
1.015000000000000000e+02 7.278052569998690657e+00 4.077937995648703577e-04 1.168941115556560253e-04 -7.587325427644645189e-03
3.015000000000000000e+02 6.198843460193759203e-02 6.005927506031671307e-04 -4.967153265578586863e-06 5.226700573118549936e-03
5.015000000000000000e+02 5.349994463950212553e-02 3.527971682628283840e-04 2.345240836890651667e-06 -1.071522379224443614e-03
7.015000000000000000e+02 2.479967392793433825e-02 3.814161033883737987e-04 8.655183234794031669e-07 -7.716912630914680125e-04
9.015000000000000000e+02 1.422679408547545925e-02 1.832299166874786682e-04 6.207801330371458724e-07 8.822921892022424575e-05
1.101500000000000000e+03 5.483877958849634957e-03 1.238366249627135228e-04 4.717742978299923568e-07 -2.546709364589919752e-04
1.301500000000000000e+03 2.827460429906253781e-03 9.011760264530288740e-05 2.824635133279477985e-07 -9.269940438870534374e-05
1.501500000000000000e+03 1.755688202980929414e-03 3.894154714377576042e-05 1.952788394208366031e-07 -3.607163886243307618e-05
1.701500000000000000e+03 7.832255894768800925e-04 2.941096925247741316e-05 1.305477758896394091e-07 -4.504349496650895723e-05
1.901500000000000000e+03 4.382349540037712909e-04 1.605273515500098023e-05 8.573731357870611060e-08 -1.648583688252220380e-05
2.101500000000000000e+03 2.648425226691754602e-04 7.810895774337552118e-06 5.861754055883170233e-08 -1.232849568025954974e-05
2.301500000000000000e+03 1.285611748923088781e-04 5.515467255746740306e-06 3.988238311689894331e-08 -7.195607078707149511e-06
2.501500000000000000e+03 7.515707812346421248e-05 2.634684214267858147e-06 2.764551861502663606e-08 -3.434661136467091624e-06
2.701500000000000000e+03 4.389952552836759605e-05 1.503493801047196619e-06 1.953205618328108884e-08 -2.533819151671974853e-06
2.901500000000000000e+03 2.301426514252970053e-05 9.155228913414444736e-07 1.400674237901543692e-08 -1.157624364133520782e-06
3.101500000000000000e+03 1.359127153878369403e-05 4.589296351274772874e-07 1.024150378243361099e-08 -6.865568122099886305e-07
3.301500000000000000e+03 7.935774863873285337e-06 2.733802561777382759e-07 7.621355563494340855e-09 -4.330993772315119421e-07
3.501500000000000000e+03 4.485226847395918803e-06 1.546738702933231991e-07 5.776460007941288871e-09 -2.035625979384264275e-07
3.701500000000000000e+03 2.694006480304084150e-06 8.595162526139623750e-08 4.458616059142770687e-09 -1.275361132484660483e-07
3.901500000000000000e+03 1.654545244327571578e-06 5.077141232619369571e-08 3.500730362072217424e-09 -7.385249486686856345e-08
4.101500000000000000e+03 1.024056033159814929e-06 2.964003366858876108e-08 2.792781503778971329e-09 -3.968551592659957914e-08
4.301500000000000000e+03 6.599211689335359199e-07 1.792081215388800131e-08 2.260141377578827416e-09 -2.466572694016134385e-08
4.501500000000000000e+03 4.482744572165473590e-07 1.105575567236670624e-08 1.853091917042624511e-09 -1.492961238411933418e-08
4.701500000000000000e+03 3.133447180163816574e-07 7.090007221275962105e-09 1.537880835722511003e-09 -9.226769765626792452e-09
4.901500000000000000e+03 2.277472695762383710e-07 4.734393382761309611e-09 1.290133844119101488e-09 -6.089477561023763223e-09
5.101500000000000000e+03 1.736442413129353599e-07 3.265917151483060134e-09 1.092265709501250944e-09 -4.185543557509725762e-09
5.301500000000000000e+03 1.361382820570538514e-07 2.360801967300563737e-09 9.318711875530421036e-10 -2.974960168229869849e-09
5.501500000000000000e+03 1.094574429711826993e-07 1.770782267199123370e-09 8.004521137959329189e-10 -2.213139365339013393e-09
5.701500000000000000e+03 9.026415990871619054e-08 1.370472835121615855e-09 6.919460906382937425e-10 -1.714905188682200061e-09
5.901500000000000000e+03 7.579443830525523993e-08 1.093176195276770342e-09 6.019133239894192469e-10 -1.360615136585593091e-09
6.101500000000000000e+03 6.450051493876918327e-08 8.928165702841087748e-10 5.267706046611739359e-10 -1.108380519059397925e-09
6.301500000000000000e+03 5.554705719573769652e-08 7.428041335256908418e-10 4.635323626966709580e-10 -9.230750120340847747e-10
6.501500000000000000e+03 4.825124411616398247e-08 6.277904414928133229e-10 4.097067092591593111e-10 -7.790376336490872333e-10
6.701500000000000000e+03 4.220577828884843539e-08 5.372327296493676265e-10 3.635469788690883753e-10 -6.653238715156710645e-10
6.901500000000000000e+03 3.718940900512729329e-08 4.641797246484188323e-10 3.237891949194791449e-10 -5.746887752458115359e-10
