# ells, tt, ee, bb, te
1.015000000000000000e+02 2.437202220539254995e+03 2.667307041500926457e-01 -5.332457049222819739e-02 -2.421057752043104117e+01
3.015000000000000000e+02 3.929082248840092689e+03 1.059495247796629869e+01 -4.327119517984508862e-02 7.245903902537949648e+01
5.015000000000000000e+02 2.105981923857182665e+03 1.285913810482074204e+01 7.670268401523540336e-02 -3.080443572493165405e+01
7.015000000000000000e+02 1.998634204836967001e+03 2.914967793226238157e+01 7.276929055823638803e-02 -6.976349023151273343e+01
9.015000000000000000e+02 1.787791455533584440e+03 2.520086724360351127e+01 8.209295531736990337e-02 1.366662580379610326e+01
1.101500000000000000e+03 1.080379008986764802e+03 2.287525588656333397e+01 9.204304136770070921e-02 -4.682070181627331351e+01
1.301500000000000000e+03 7.610735733940686032e+02 2.439311782097498238e+01 7.747952935161128707e-02 -2.762265976305257453e+01
1.501500000000000000e+03 6.239514629652860549e+02 1.424181889775580245e+01 7.049161015115910922e-02 -1.171353170201886407e+01
1.701500000000000000e+03 3.639487194141411806e+02 1.326904402780379222e+01 6.041038193250276161e-02 -2.076106837176626030e+01
1.901500000000000000e+03 2.512282658369472301e+02 9.334536298580157876e+00 4.951987493937057977e-02 -9.829788011886623877e+00
2.101500000000000000e+03 1.856892006324379167e+02 5.484470217549117343e+00 4.126025889767223620e-02 -8.399010606282033109e+00
2.301500000000000000e+03 1.086847089553723720e+02 4.616883873881879374e+00 3.365874199318653198e-02 -6.142541034544210632e+00
2.501500000000000000e+03 7.465897728838433522e+01 2.641471398072289922e+00 2.754991128366439390e-02 -3.429895649868328622e+00
2.701500000000000000e+03 5.098412491530172730e+01 1.738227775788197427e+00 2.269267513511722192e-02 -2.912527208171743265e+00
2.901500000000000000e+03 3.084672978506719332e+01 1.225999417025213978e+00 1.876962040240650470e-02 -1.565400537105348322e+00
3.101500000000000000e+03 2.079003751185223337e+01 7.034108685130512351e-01 1.567929796751465696e-02 -1.046860752611021628e+00
3.301500000000000000e+03 1.377012105676508291e+01 4.730697142363631813e-01 1.322066682212974693e-02 -7.498441176057055735e-01
3.501500000000000000e+03 8.749898026882732438e+00 3.019902122947585310e-01 1.127089800679224700e-02 -3.982542363547685871e-01
3.701500000000000000e+03 5.874896108360577962e+00 1.872673888713823342e-01 9.721670915466253116e-03 -2.773823083324207794e-01
3.901500000000000000e+03 4.008127321604511906e+00 1.229110635173307070e-01 8.480316367006175346e-03 -1.789536707374721758e-01
4.101500000000000000e+03 2.740417481932849508e+00 7.935443943529237043e-02 7.476800309935622765e-03 -1.062131788716183939e-01
4.301500000000000000e+03 1.942815975116590987e+00 5.273685528975625980e-02 6.655353158599823515e-03 -7.258279223883154496e-02
4.501500000000000000e+03 1.444454803206673077e+00 3.564700172183356275e-02 5.976060621490386984e-03 -4.814705307954377650e-02
4.701500000000000000e+03 1.101377440596881918e+00 2.493607514051213864e-02 5.410103395366221840e-03 -3.244203201673295789e-02
4.901500000000000000e+03 8.700146891929063653e-01 1.809715382572688741e-02 4.932933795237759780e-03 -2.328108219466289500e-02
5.101500000000000000e+03 7.185057909292983380e-01 1.352548331886678327e-02 4.524179575321118571e-03 -1.733338727676834654e-02
5.301500000000000000e+03 6.084300305239909168e-01 1.055876879310846742e-02 4.168442008178534740e-03 -1.330493331760141187e-02
5.501500000000000000e+03 5.268001044313184167e-01 8.528998748265893132e-03 3.855852987907286682e-03 -1.066019970565018800e-02
5.701500000000000000e+03 4.665281960882850520e-01 7.089826459074868859e-03 3.579930644412402177e-03 -8.871583171046186489e-03
5.901500000000000000e+03 4.197352080555054599e-01 6.059164919672489769e-03 3.336461619590537931e-03 -7.541511408375406282e-03
6.101500000000000000e+03 3.818605701024712640e-01 5.289836435472663155e-03 3.121228955353420268e-03 -6.567109465709529761e-03
6.301500000000000000e+03 3.507470103524711891e-01 4.694348575607777685e-03 2.929538756502233880e-03 -5.833706709064601439e-03
6.501500000000000000e+03 3.243115025412776631e-01 4.223374035911576889e-03 2.756338742354021241e-03 -5.240826990136465517e-03
6.701500000000000000e+03 3.014355039203559516e-01 3.839979255544996063e-03 2.598593511412943848e-03 -4.755623391211331180e-03
6.901500000000000000e+03 2.817114806175908259e-01 3.518840230477278831e-03 2.454622239896973000e-03 -4.356589907489474313e-03
7.101500000000000000e+03 2.637475360950105596e-01 3.245483826698143930e-03 2.322336241613270555e-03 -4.019180590777065958e-03
7.301500000000000000e+03 2.479542333727018932e-01 3.009292352939569280e-03 2.200237044143146890e-03 -3.718971714441253722e-03
7.501500000000000000e+03 2.336020818346558059e-01 2.801298726298017631e-03 2.087408523565269063e-03 -3.456155670508483189e-03
7.701500000000000000e+03 2.206287604542197800e-01 2.617792576031755143e-03 1.983996564384745125e-03 -3.231364395220218122e-03
7.901500000000000000e+03 2.088661497534398115e-01 2.453180565075504735e-03 1.888921493055268708e-03 -3.025196418535179132e-03
8.101500000000000000e+03 1.981025868295152592e-01 2.307262374214710896e-03 1.801436826654871301e-03 -2.838214716944715763e-03
8.301500000000000000e+03 1.883612286695135196e-01 2.173949946411300564e-03 1.720678882500882492e-03 -2.671738891461846073e-03
8.501500000000000000e+03 1.794307568726154767e-01 2.053672541158084366e-03 1.645426905327416079e-03 -2.524054141424293685e-03
8.701500000000000000e+03 1.710434476224910183e-01 1.943675932408041578e-03 1.574324203551992962e-03 -2.381908793253001769e-03
8.901500000000000000e+03 1.633759577250408768e-01 1.842790754876652256e-03 1.507000796015699196e-03 -2.253566805987540413e-03
9.101500000000000000e+03 1.559402216811136554e-01 1.749409707040903419e-03 1.443877323734822898e-03 -2.139275219895800731e-03
9.301500000000000000e+03 1.494485698304096888e-01 1.663714198309058142e-03 1.385205038743410636e-03 -2.032280706384689047e-03
9.501500000000000000e+03 1.431693626786366136e-01 1.585325177950155321e-03 1.330939676327294466e-03 -1.931084727651596758e-03
9.701500000000000000e+03 1.375958787505734693e-01 1.513246162416912377e-03 1.280886529934293673e-03 -1.841950880468796580e-03
9.901500000000000000e+03 1.321778568873436255e-01 1.446800107630083921e-03 1.234342221531840650e-03 -1.762882160341425154e-03
1.010150000000000000e+04 1.271325918384079157e-01 1.386190566654949344e-03 1.190560146134990839e-03 -1.685712149561308668e-03
1.030150000000000000e+04 1.225677278096091588e-01 1.329898739449810125e-03 1.149418212221309894e-03 -1.613292747502883054e-03
1.050150000000000000e+04 1.179743301147463536e-01 1.277185246937937455e-03 1.110813008544931681e-03 -1.552621228169296513e-03
1.070150000000000000e+04 1.139691080695122843e-01 1.228146007189082284e-03 1.074133960228077075e-03 -1.492054636862779563e-03
1.090150000000000000e+04 1.099478574085493016e-01 1.181821594451191613e-03 1.038717085642853035e-03 -1.430981447365258343e-03
1.110150000000000000e+04 1.062956309743648270e-01 1.137965476373124221e-03 1.004468637115475292e-03 -1.378434234385913452e-03
1.130150000000000000e+04 1.025669616694606379e-01 1.095805723180378471e-03 9.715010646801946256e-04 -1.328749797690123103e-03
1.150150000000000000e+04 9.917518310021869454e-02 1.056601333781252315e-03 9.401101099020984586e-04 -1.277409663128631400e-03
1.170150000000000000e+04 9.600657908601205326e-02 1.019102130553266360e-03 9.106988024477128112e-04 -1.230877324462744662e-03
1.190150000000000000e+04 9.300771901770484018e-02 9.836093113116872386e-04 8.831400121228885538e-04 -1.189532762087793568e-03
1.210150000000000000e+04 9.026199424677636141e-02 9.505931619194613567e-04 8.567504663632517087e-04 -1.147216154926948822e-03
1.230150000000000000e+04 8.733312449032212821e-02 9.191722345318967258e-04 8.311960468397111210e-04 -1.108096665508816279e-03
1.250150000000000000e+04 8.475177754067479696e-02 8.894186119887424529e-04 8.066738205577102597e-04 -1.073085449310921032e-03
1.270150000000000000e+04 8.212504181121414726e-02 8.612112399597591670e-04 7.835898143944656103e-04 -1.038785445812570206e-03
1.290150000000000000e+04 7.986389451321497523e-02 8.347899581890758872e-04 7.619373582736255765e-04 -1.005606483582784745e-03
1.310150000000000000e+04 7.757751302929030701e-02 8.095052702679851522e-04 7.413444767909209898e-04 -9.753468424900134989e-04
1.330150000000000000e+04 7.539741986762132919e-02 7.853368949194113394e-04 7.211895479650300231e-04 -9.469192118788275847e-04
