# ells, tt
1.015000000000000000e+02 7.586338401617258309e-02
3.015000000000000000e+02 5.745717454347378794e-01
5.015000000000000000e+02 1.595438669063356185e+00
7.015000000000000000e+02 2.967063615231523510e+00
9.015000000000000000e+02 5.238379825243848487e+00
1.101500000000000000e+03 7.245808020697805496e+00
1.301500000000000000e+03 1.070807064041293799e+01
1.501500000000000000e+03 1.442818101304083456e+01
1.701500000000000000e+03 1.743583826204524811e+01
1.901500000000000000e+03 2.171124398449347481e+01
2.101500000000000000e+03 2.709459244916937237e+01
2.301500000000000000e+03 3.335189954634083165e+01
2.501500000000000000e+03 3.867108436022999740e+01
2.701500000000000000e+03 4.629297987764698519e+01
2.901500000000000000e+03 5.121939108288270859e+01
3.101500000000000000e+03 5.844270745166844705e+01
3.301500000000000000e+03 6.758154015525514069e+01
3.501500000000000000e+03 7.709716776317344511e+01
3.701500000000000000e+03 8.316493765982363584e+01
3.901500000000000000e+03 9.374602925999900549e+01
4.101500000000000000e+03 1.050289230955024493e+02
4.301500000000000000e+03 1.141333409101017651e+02
4.501500000000000000e+03 1.225140968982735785e+02
4.701500000000000000e+03 1.393671412205614502e+02
4.901500000000000000e+03 1.506677389449516227e+02
5.101500000000000000e+03 1.609271069181351663e+02
5.301500000000000000e+03 1.749766016335659344e+02
5.501500000000000000e+03 1.876909122605074742e+02
5.701500000000000000e+03 2.022123823920678660e+02
5.901500000000000000e+03 2.164866112292234561e+02
6.101500000000000000e+03 2.320625025614701542e+02
6.301500000000000000e+03 2.481822397932650972e+02
6.501500000000000000e+03 2.572692525716495879e+02
6.701500000000000000e+03 2.741599470406803789e+02
6.901500000000000000e+03 3.017869253641175078e+02
7.101500000000000000e+03 3.113754631259261032e+02
7.301500000000000000e+03 3.320179027330099757e+02
7.501500000000000000e+03 3.395533968694380746e+02
7.701500000000000000e+03 3.670796721640247142e+02
7.901500000000000000e+03 3.835974675472938316e+02
8.101500000000000000e+03 4.089544454119984493e+02
8.301500000000000000e+03 4.253184289722533435e+02
8.501500000000000000e+03 4.442642598162079821e+02
8.701500000000000000e+03 4.636624732043298422e+02
8.901500000000000000e+03 4.878147629385552477e+02
9.101500000000000000e+03 5.189415270177544244e+02
9.301500000000000000e+03 5.323461655646108284e+02
9.501500000000000000e+03 5.726690507819390632e+02
9.701500000000000000e+03 5.736354956202330868e+02
9.901500000000000000e+03 6.072401724703083801e+02
1.010150000000000000e+04 6.242296705165327921e+02
1.030150000000000000e+04 6.695495414453025660e+02
1.050150000000000000e+04 6.820366318527819658e+02
1.070150000000000000e+04 7.071008665921081047e+02
1.090150000000000000e+04 7.396378159566543218e+02
1.110150000000000000e+04 7.532905396304171290e+02
1.130150000000000000e+04 7.913448911009220410e+02
1.150150000000000000e+04 8.165002587547947996e+02
1.170150000000000000e+04 8.640124111895497663e+02
1.190150000000000000e+04 8.664616800310949429e+02
1.210150000000000000e+04 8.998182037622369762e+02
1.230150000000000000e+04 9.773944082436363487e+02
