# ells, tt
1.015000000000000000e+02 2.619677621134879064e-02
3.015000000000000000e+02 1.934460822085880827e-01
5.015000000000000000e+02 5.329253687245417703e-01
7.015000000000000000e+02 9.657207776897684948e-01
9.015000000000000000e+02 1.770691954807107837e+00
1.101500000000000000e+03 2.417271802257995983e+00
1.301500000000000000e+03 3.606655553045303719e+00
1.501500000000000000e+03 4.829359626727368848e+00
1.701500000000000000e+03 5.736094665499429368e+00
1.901500000000000000e+03 7.215396903327605749e+00
2.101500000000000000e+03 9.046774346616889062e+00
2.301500000000000000e+03 1.131597005099774655e+01
2.501500000000000000e+03 1.289416156199336072e+01
2.701500000000000000e+03 1.539528302202278809e+01
2.901500000000000000e+03 1.694053079011350960e+01
3.101500000000000000e+03 1.958616103082085758e+01
3.301500000000000000e+03 2.253976498463397604e+01
3.501500000000000000e+03 2.600598080977234261e+01
3.701500000000000000e+03 2.770264197014655139e+01
3.901500000000000000e+03 3.091202573710268098e+01
4.101500000000000000e+03 3.504422714643289538e+01
4.301500000000000000e+03 3.802752606878251385e+01
4.501500000000000000e+03 4.147675855137078571e+01
4.701500000000000000e+03 4.642228235127801383e+01
4.901500000000000000e+03 5.042481681181790520e+01
5.101500000000000000e+03 5.331941044795319584e+01
5.301500000000000000e+03 5.821111855884684161e+01
5.501500000000000000e+03 6.281093304963746249e+01
5.701500000000000000e+03 6.831815917846438424e+01
5.901500000000000000e+03 7.257789138230357651e+01
6.101500000000000000e+03 7.664320632862589378e+01
6.301500000000000000e+03 8.265031978794218048e+01
6.501500000000000000e+03 8.604421348055051055e+01
6.701500000000000000e+03 9.164873485202902259e+01
6.901500000000000000e+03 1.016940255265653832e+02
7.101500000000000000e+03 1.039540753459371416e+02
7.301500000000000000e+03 1.100007558288519647e+02
7.501500000000000000e+03 1.122594099597694708e+02
7.701500000000000000e+03 1.228071667825788893e+02
7.901500000000000000e+03 1.285524777432737551e+02
8.101500000000000000e+03 1.370048282703445750e+02
8.301500000000000000e+03 1.421506252946415998e+02
8.501500000000000000e+03 1.468119472234686782e+02
8.701500000000000000e+03 1.540686794400421036e+02
8.901500000000000000e+03 1.627904970078347162e+02
9.101500000000000000e+03 1.761376717332252326e+02
9.301500000000000000e+03 1.771325196444624055e+02
9.501500000000000000e+03 1.899014729362497178e+02
9.701500000000000000e+03 1.906633190754206737e+02
9.901500000000000000e+03 2.021789187769965679e+02
1.010150000000000000e+04 2.095092965652314660e+02
1.030150000000000000e+04 2.235052679041349393e+02
1.050150000000000000e+04 2.296241067579838671e+02
1.070150000000000000e+04 2.327956383735221380e+02
1.090150000000000000e+04 2.464181103083762139e+02
1.110150000000000000e+04 2.521376309295526710e+02
1.130150000000000000e+04 2.675707232869825702e+02
1.150150000000000000e+04 2.728881087434633059e+02
1.170150000000000000e+04 2.864618597753861309e+02
1.190150000000000000e+04 2.880534213390470768e+02
1.210150000000000000e+04 2.991988641489057841e+02
1.230150000000000000e+04 3.125824847982953543e+02
1.250150000000000000e+04 3.234989769034085043e+02
1.270150000000000000e+04 3.354588070693582154e+02
1.290150000000000000e+04 3.377695559516950539e+02
1.310150000000000000e+04 3.546055765534490547e+02
1.330150000000000000e+04 3.580705959297202412e+02
1.350150000000000000e+04 3.789032997856000975e+02
1.370150000000000000e+04 3.904253111957702345e+02
1.390150000000000000e+04 4.006124447425498829e+02
1.410150000000000000e+04 4.057700013202534137e+02
1.430150000000000000e+04 4.227107760386479072e+02
1.450150000000000000e+04 4.397768878822168404e+02
1.470150000000000000e+04 4.445727102515762681e+02
1.490150000000000000e+04 4.616973427048773715e+02
1.510150000000000000e+04 4.729457212019661370e+02
1.530150000000000000e+04 4.847822374785411625e+02
1.550150000000000000e+04 4.885475079910465297e+02
1.570150000000000000e+04 5.178004167967308149e+02
1.590150000000000000e+04 5.206600106321506019e+02
1.610150000000000000e+04 5.384600248919232399e+02
1.630150000000000000e+04 5.476862827967752310e+02
1.650150000000000000e+04 5.587794196666259268e+02
1.670150000000000000e+04 5.764887955091610365e+02
1.690150000000000000e+04 5.882332731922762150e+02
1.710150000000000000e+04 6.115058542677649029e+02
1.730150000000000000e+04 6.120012564157300403e+02
1.750150000000000000e+04 6.292030725611169828e+02
1.770150000000000000e+04 6.425071871071571650e+02
1.790150000000000000e+04 6.635258245752580706e+02
1.810150000000000000e+04 6.801913329548823413e+02
1.830150000000000000e+04 6.921837829625707172e+02
1.850150000000000000e+04 7.050467352607495286e+02
1.870150000000000000e+04 7.144323366011337839e+02
1.890150000000000000e+04 7.375073074046771353e+02
1.910150000000000000e+04 7.562443974018990502e+02
1.930150000000000000e+04 7.725592933050191959e+02
1.950150000000000000e+04 7.913409441475763515e+02
1.970150000000000000e+04 8.053001522965588492e+02
1.990150000000000000e+04 8.184934395710224635e+02
2.010150000000000000e+04 8.229922713335076878e+02
2.030150000000000000e+04 8.612544142332720867e+02
2.050150000000000000e+04 8.773483644633590757e+02
2.070150000000000000e+04 9.300871952515499288e+02
