,RADeg,decDeg,z,fluxmJy_1.4GHz,fluxmJy_30GHz,fluxmJy_90GHz,fluxmJy_148GHz,fluxmJy_219GHz,fluxmJy_277GHz,fluxmJy_350GHz
0,2.54673,3.0411159999999997,0.04233,16.6322,1.47517,0.593726,0.397624,0.290504,0.240716,0.199632
1,3.503856,3.545379000000006,0.04439,19.7146,1.68315,0.694486,0.466421,0.340899,0.282486,0.234275
2,3.5310440000000005,3.628186000000006,0.04439,3.84774,0.339814,0.135319,0.0905332,0.0661271,0.0547913,0.0454391
3,6.999583,2.7861770000000026,0.04472,6.93293,0.596638,0.247187,0.166033,0.121352,0.100559,0.0833966
4,7.191731,6.569081000000003,0.0468,6.4327,1.02608,2.22077,3.52781,4.8072,5.57396,6.24256
5,9.74867,7.782455,0.04845,38.3536,3.10988,1.19746,0.798948,0.583158,0.483116,0.400628
6,8.679164,6.376421000000006,0.05131,10.8398,0.928492,0.380013,0.255156,0.186486,0.154531,0.128158
7,1.781679,10.919918000000001,0.0512,3.25806,0.262189,0.107732,0.0723556,0.0528839,0.0438222,0.0363433
8,10.441846,2.5397469999999993,0.05978,5.65185,1.07216,0.573646,0.353203,0.218147,0.158112,0.113287
9,10.467955,2.4940339999999948,0.05978,53.5536,30.9551,15.9045,8.71249,4.66057,3.01364,1.88201
10,6.265498,8.061974000000001,0.0562,2.56072,0.219621,0.091177,0.0612449,0.0447635,0.0370933,0.0307627
11,6.751658,8.507713999999998,0.05676,13.1385,1.35326,0.525578,0.33005,0.233524,0.191633,0.158159
12,8.755327,7.522400000000002,0.05866,11.5366,0.975822,0.401946,0.269909,0.197267,0.163465,0.135567
13,7.891666,4.442049000000002,0.0572,138.577,12.2117,4.97771,3.32776,2.42932,2.01261,1.669
14,7.766871999999999,4.523914999999996,0.0572,46.9903,5.83148,1.89518,1.12648,0.774908,0.628874,0.51523
15,5.419448,1.3826719999999961,0.06373,13.4337,1.12341,0.456563,0.306576,0.224071,0.185676,0.153987
16,6.079735,7.7065900000000065,0.06102,6.16462,0.518867,0.212216,0.14249,0.104141,0.0862963,0.0715684
17,7.675967,2.5345640000000014,0.06384,16.9491,1.27853,0.52779,0.354518,0.259115,0.214716,0.178071
18,7.710027000000001,2.591989999999998,0.06384,18.5079,1.66448,0.668236,0.444217,0.323607,0.267952,0.22215
19,7.688645,2.585531999999996,0.06384,24.6525,2.07753,0.861467,0.578656,0.422936,0.350466,0.290653
20,3.399944,8.646708999999998,0.06725,15.3124,1.30748,0.542356,0.364302,0.266265,0.220641,0.182985
21,5.212414,3.6191500000000016,0.06622,4.51118,0.389829,0.160912,0.108061,0.0789798,0.0654465,0.054277
22,0.829959,4.070245000000003,0.06679,12.7872,1.27946,0.563833,0.368989,0.258424,0.207813,0.167338
23,0.7719600000000001,4.1106250000000015,0.06679,6.51684,0.554443,0.228769,0.153652,0.112303,0.0930599,0.0771777
24,7.428666,3.4162529999999967,0.06873,15.3641,1.32672,0.548375,0.368212,0.269109,0.222995,0.184937
