# ells, tt
1.015000000000000000e+02 3.768588759290909026e-03
3.015000000000000000e+02 -1.624426293303134487e-04
5.015000000000000000e+02 4.543323112460463377e-06
7.015000000000000000e+02 -2.743296695431246320e-07
9.015000000000000000e+02 1.058879385068727627e-07
1.101500000000000000e+03 9.155518201034288113e-08
1.301500000000000000e+03 8.661121100525429581e-08
1.501500000000000000e+03 7.425758942887711384e-08
1.701500000000000000e+03 6.467204918780831811e-08
1.901500000000000000e+03 6.266710869901144753e-08
2.101500000000000000e+03 5.498243558499759942e-08
2.301500000000000000e+03 6.004723934619431834e-08
2.501500000000000000e+03 5.420161794692499019e-08
2.701500000000000000e+03 5.037034021182324287e-08
2.901500000000000000e+03 5.224743213481337676e-08
3.101500000000000000e+03 5.124328875060841407e-08
3.301500000000000000e+03 4.916022074671456255e-08
3.501500000000000000e+03 4.845373305590362781e-08
3.701500000000000000e+03 4.815408965944861470e-08
3.901500000000000000e+03 4.763187983106532115e-08
4.101500000000000000e+03 4.736821694322186357e-08
4.301500000000000000e+03 4.524165883542472391e-08
4.501500000000000000e+03 4.430930821814204835e-08
4.701500000000000000e+03 4.394027326996720723e-08
4.901500000000000000e+03 4.300245678230275887e-08
5.101500000000000000e+03 4.204864957880411454e-08
5.301500000000000000e+03 4.159921364260720256e-08
5.501500000000000000e+03 4.339095589231932236e-08
5.701500000000000000e+03 4.290025244559931203e-08
5.901500000000000000e+03 4.096858226904598031e-08
6.101500000000000000e+03 3.859545767202212240e-08
6.301500000000000000e+03 4.080420331586183634e-08
6.501500000000000000e+03 4.052387988414701659e-08
6.701500000000000000e+03 4.079128916998269817e-08
6.901500000000000000e+03 4.065599583205699971e-08
7.101500000000000000e+03 3.959455600940379512e-08
7.301500000000000000e+03 3.983909056228032189e-08
7.501500000000000000e+03 3.845359525562949573e-08
7.701500000000000000e+03 3.773429792606526142e-08
7.901500000000000000e+03 3.879535769418194990e-08
8.101500000000000000e+03 3.834414560366072671e-08
8.301500000000000000e+03 3.782228231982602551e-08
8.501500000000000000e+03 3.771433440047418308e-08
8.701500000000000000e+03 3.810993679946134147e-08
8.901500000000000000e+03 3.594995254354993500e-08
9.101500000000000000e+03 3.639188191549566670e-08
9.301500000000000000e+03 3.647260204546304814e-08
9.501500000000000000e+03 3.715734176441464991e-08
9.701500000000000000e+03 3.584616163102303241e-08
9.901500000000000000e+03 3.482735318559778452e-08
1.010150000000000000e+04 3.648729707281825760e-08
1.030150000000000000e+04 3.437169759929487938e-08
1.050150000000000000e+04 3.619158016595148503e-08
1.070150000000000000e+04 3.505765817009044166e-08
1.090150000000000000e+04 3.548068846202252359e-08
1.110150000000000000e+04 3.397337670050955833e-08
1.130150000000000000e+04 3.545385139738032890e-08
1.150150000000000000e+04 3.480506007957524369e-08
1.170150000000000000e+04 3.509829143951364157e-08
1.190150000000000000e+04 3.447775633318393796e-08
1.210150000000000000e+04 3.423716072674863945e-08
1.230150000000000000e+04 3.393573915921396385e-08
1.250150000000000000e+04 3.394321517786437289e-08
1.270150000000000000e+04 3.421024088163733715e-08
1.290150000000000000e+04 3.425816508409017300e-08
1.310150000000000000e+04 3.365819804641898008e-08
1.330150000000000000e+04 3.450646740634950275e-08
1.350150000000000000e+04 3.389412074569695375e-08
1.370150000000000000e+04 3.339105697483026310e-08
1.390150000000000000e+04 3.348077956328397027e-08
1.410150000000000000e+04 3.276095089497439858e-08
1.430150000000000000e+04 3.285429906804738801e-08
1.450150000000000000e+04 3.410373899244687324e-08
1.470150000000000000e+04 3.335115641799351649e-08
1.490150000000000000e+04 3.369208468225284036e-08
1.510150000000000000e+04 3.314256613440598536e-08
1.530150000000000000e+04 3.279466884951523378e-08
1.550150000000000000e+04 3.237466680857612593e-08
1.570150000000000000e+04 3.192651842610342854e-08
1.590150000000000000e+04 3.327685109900232553e-08
1.610150000000000000e+04 3.257842520768681623e-08
1.630150000000000000e+04 3.220402191048275444e-08
1.650150000000000000e+04 3.252228219565982198e-08
1.670150000000000000e+04 3.239624429623940979e-08
1.690150000000000000e+04 3.216865724500136989e-08
1.710150000000000000e+04 3.254246399878143409e-08
1.730150000000000000e+04 3.257922331495828766e-08
1.750150000000000000e+04 3.223211318099783166e-08
1.770150000000000000e+04 3.264415706342726119e-08
1.790150000000000000e+04 3.203578351739822079e-08
1.810150000000000000e+04 3.193783693756595138e-08
1.830150000000000000e+04 3.228834468845684017e-08
1.850150000000000000e+04 3.194769473959070664e-08
1.870150000000000000e+04 3.158631700146825307e-08
1.890150000000000000e+04 3.176549297595308060e-08
1.910150000000000000e+04 3.233180446238770065e-08
1.930150000000000000e+04 3.191977231389512799e-08
1.950150000000000000e+04 3.160082186653366937e-08
1.970150000000000000e+04 3.171903851530568852e-08
1.990150000000000000e+04 3.161021286465809277e-08
2.010150000000000000e+04 3.179353490693032331e-08
2.030150000000000000e+04 3.165174913968872357e-08
2.050150000000000000e+04 3.162025335803823855e-08
2.070150000000000000e+04 3.328142832827893733e-08
