# ells, tt
1.015000000000000000e+02 4.474599015293783170e-04
3.015000000000000000e+02 1.615388765184963722e-04
5.015000000000000000e+02 1.681725044181693856e-04
7.015000000000000000e+02 1.707589013814802734e-04
9.015000000000000000e+02 1.762662410347282105e-04
1.101500000000000000e+03 1.705597874226836750e-04
1.301500000000000000e+03 1.707362593194504071e-04
1.501500000000000000e+03 1.722996865850222054e-04
1.701500000000000000e+03 1.718424903420174362e-04
1.901500000000000000e+03 1.714138266619747743e-04
2.101500000000000000e+03 1.710601673888774226e-04
2.301500000000000000e+03 1.734630608365267368e-04
2.501500000000000000e+03 1.726542577658786871e-04
2.701500000000000000e+03 1.718995309752250125e-04
2.901500000000000000e+03 1.696546455823893986e-04
3.101500000000000000e+03 1.735681517684818176e-04
3.301500000000000000e+03 1.731440903686235215e-04
3.501500000000000000e+03 1.707238747812533063e-04
3.701500000000000000e+03 1.706766880121975377e-04
3.901500000000000000e+03 1.730815449678281125e-04
4.101500000000000000e+03 1.726537743706382658e-04
4.301500000000000000e+03 1.706697464841001486e-04
4.501500000000000000e+03 1.716036544074495520e-04
4.701500000000000000e+03 1.725463580700040242e-04
4.901500000000000000e+03 1.724880025691218012e-04
5.101500000000000000e+03 1.714581551924676116e-04
5.301500000000000000e+03 1.719370774942651457e-04
5.501500000000000000e+03 1.725239617267338419e-04
5.701500000000000000e+03 1.721545203841544878e-04
5.901500000000000000e+03 1.711549248047066862e-04
6.101500000000000000e+03 1.714289511574063627e-04
6.301500000000000000e+03 1.731877191641166796e-04
6.501500000000000000e+03 1.715864709943648678e-04
6.701500000000000000e+03 1.702872169745677389e-04
6.901500000000000000e+03 1.724526227466851604e-04
7.101500000000000000e+03 1.734451006700359912e-04
7.301500000000000000e+03 1.718058677857531129e-04
7.501500000000000000e+03 1.705374649344279633e-04
7.701500000000000000e+03 1.718567957021966395e-04
7.901500000000000000e+03 1.722045733869617917e-04
8.101500000000000000e+03 1.721316821096612710e-04
8.301500000000000000e+03 1.717675178643539356e-04
8.501500000000000000e+03 1.713289852196566950e-04
8.701500000000000000e+03 1.719228401309749049e-04
8.901500000000000000e+03 1.716066098152064525e-04
9.101500000000000000e+03 1.717166453171163469e-04
9.301500000000000000e+03 1.723745468036750250e-04
9.501500000000000000e+03 1.727685244092006444e-04
9.701500000000000000e+03 1.707634774589710327e-04
9.901500000000000000e+03 1.712918502958362473e-04
1.010150000000000000e+04 1.731808945144917399e-04
1.030150000000000000e+04 1.726615280469244429e-04
1.050150000000000000e+04 1.710030990533366075e-04
1.070150000000000000e+04 1.708597252143258325e-04
1.090150000000000000e+04 1.724910933866758464e-04
1.110150000000000000e+04 1.722385434876386959e-04
1.130150000000000000e+04 1.716829547236223036e-04
1.150150000000000000e+04 1.714671876302310848e-04
1.170150000000000000e+04 1.723764189410943986e-04
1.190150000000000000e+04 1.721873455671967890e-04
1.210150000000000000e+04 1.717535877613993319e-04
1.230150000000000000e+04 1.714459186793048252e-04
1.250150000000000000e+04 1.726626883421021434e-04
1.270150000000000000e+04 1.718215426585059202e-04
1.290150000000000000e+04 1.707826494980328497e-04
1.310150000000000000e+04 1.716562625731746130e-04
1.330150000000000000e+04 1.728112150189332506e-04
1.350150000000000000e+04 1.714772383077146380e-04
1.370150000000000000e+04 1.714033681732836476e-04
1.390150000000000000e+04 1.721116007227130209e-04
1.410150000000000000e+04 1.725613827908066512e-04
1.430150000000000000e+04 1.719112304198762279e-04
1.450150000000000000e+04 1.713897878334329130e-04
1.470150000000000000e+04 1.718308817684962046e-04
1.490150000000000000e+04 1.724570261124873274e-04
1.510150000000000000e+04 1.719021044523499355e-04
1.530150000000000000e+04 1.716213146957148018e-04
1.550150000000000000e+04 1.719016170576794953e-04
1.570150000000000000e+04 1.723464183396366742e-04
1.590150000000000000e+04 1.714833205494424020e-04
1.610150000000000000e+04 1.716833576938521879e-04
1.630150000000000000e+04 1.724553526337671181e-04
1.650150000000000000e+04 1.722913653602581958e-04
1.670150000000000000e+04 1.709960166592892916e-04
1.690150000000000000e+04 1.716741361579085664e-04
1.710150000000000000e+04 1.728528767940042945e-04
1.730150000000000000e+04 1.723628525913402886e-04
1.750150000000000000e+04 1.710339937884636176e-04
1.770150000000000000e+04 1.712675664053393907e-04
1.790150000000000000e+04 1.722523654343529882e-04
1.810150000000000000e+04 1.723768305094164918e-04
1.830150000000000000e+04 1.716342264225845834e-04
1.850150000000000000e+04 1.716885582502929435e-04
1.870150000000000000e+04 1.719946343217780668e-04
1.890150000000000000e+04 1.720820427287443133e-04
1.910150000000000000e+04 1.718539047882180852e-04
1.930150000000000000e+04 1.718134144040860958e-04
1.950150000000000000e+04 1.725140231824563838e-04
1.970150000000000000e+04 1.717093915746007663e-04
1.990150000000000000e+04 1.713631094227091264e-04
2.010150000000000000e+04 1.717358502451773593e-04
2.030150000000000000e+04 1.727567016240496689e-04
2.050150000000000000e+04 1.717785274972966373e-04
2.070150000000000000e+04 1.805326252794552328e-04
