# ells, tt, ee, bb, te
1.015000000000000000e+02 3.043853659479614393e+00 4.706880339788853287e-04 2.184197309105373865e-04 -1.016247087784379576e-02
3.015000000000000000e+02 2.364045690196634464e-01 7.679109601626995770e-04 -9.347461164286486891e-06 7.220323413721113637e-03
5.015000000000000000e+02 4.915574429060196038e-02 3.865125203662354413e-04 5.386206232762265216e-07 -1.123434149153495739e-03
7.015000000000000000e+02 2.396072095494944376e-02 3.691185619351878200e-04 1.183684880723365915e-06 -7.853992910563354930e-04
9.015000000000000000e+02 1.440921636061008940e-02 1.897608825548922310e-04 6.444631528165032202e-07 6.533021136012068925e-06
1.101500000000000000e+03 5.695469299786974637e-03 1.136019966414448948e-04 5.583287787952324472e-07 -2.553487884943925223e-04
1.301500000000000000e+03 2.800335893409263820e-03 9.037585152712805344e-05 2.449324736593140161e-07 -1.090342064795884862e-04
1.501500000000000000e+03 1.704597251967058082e-03 3.935543219496998979e-05 1.710909144868453541e-07 -2.338219536964986143e-05
1.701500000000000000e+03 7.860633646340183314e-04 2.807361730250718671e-05 1.177420331650877640e-07 -4.101860944967871780e-05
1.901500000000000000e+03 4.648067186242505009e-04 1.585666026710965532e-05 7.684448714498106048e-08 -1.909435580575187321e-05
2.101500000000000000e+03 2.486502534080961557e-04 7.793193710101288659e-06 5.639623040819583608e-08 -1.073509135705306473e-05
2.301500000000000000e+03 1.220273554655417153e-04 5.573736265703145175e-06 3.617980237017888186e-08 -7.038480843581905387e-06
2.501500000000000000e+03 7.763207121990272860e-05 2.426998749505418871e-06 2.640913419975970886e-08 -3.076674817700483685e-06
2.701500000000000000e+03 4.442815273550051883e-05 1.540026322489781190e-06 1.955286651473940751e-08 -2.445162897720985855e-06
2.901500000000000000e+03 2.158759306805649927e-05 9.373122934152566582e-07 1.423604986687369642e-08 -1.153666715277220042e-06
3.101500000000000000e+03 1.344075935015400441e-05 4.766437515874200618e-07 1.025191211993045184e-08 -6.005670663586809536e-07
3.301500000000000000e+03 8.018841105924052510e-06 2.611862851968537344e-07 7.419959643552837652e-09 -4.304612256331208128e-07
3.501500000000000000e+03 4.552752254564168489e-06 1.584785262578000629e-07 5.725627317876510177e-09 -2.359831715964010212e-07
3.701500000000000000e+03 2.622205735525928911e-06 8.576511585355759668e-08 4.356635692380083579e-09 -1.170493752622023065e-07
3.901500000000000000e+03 1.617205210014136135e-06 5.074855141687662783e-08 3.473712136450692080e-09 -7.945176845668152706e-08
4.101500000000000000e+03 1.043677562439213036e-06 2.831210775899496988e-08 2.839193285417194795e-09 -3.868855001001335752e-08
4.301500000000000000e+03 6.443880959955793784e-07 1.747631613147473215e-08 2.260385510010514648e-09 -2.518870533678872056e-08
4.501500000000000000e+03 4.394702258261584285e-07 1.096372905614738489e-08 1.834736489201336534e-09 -1.452932150741741013e-08
4.701500000000000000e+03 3.266557275968813002e-07 6.996194578246701918e-09 1.598555443453739892e-09 -1.086408233502498969e-08
4.901500000000000000e+03 2.189683180676380371e-07 4.531722373236560198e-09 1.276159438649761295e-09 -5.819629210374446558e-09
5.101500000000000000e+03 1.681551690430783390e-07 3.257830279556818253e-09 1.063118363837264681e-09 -4.390368488381069508e-09
5.301500000000000000e+03 1.331918730839593963e-07 2.320671967287179185e-09 9.264637276412919953e-10 -3.142131577776542848e-09
5.501500000000000000e+03 1.082829810988270412e-07 1.699132169552064383e-09 7.941800540922731701e-10 -2.037396606735174381e-09
5.701500000000000000e+03 8.939926214086878170e-08 1.307891406970213392e-09 6.910930859769223581e-10 -1.627224985770646611e-09
5.901500000000000000e+03 7.218977535170125269e-08 1.030957935792674079e-09 5.804433229766888612e-10 -1.218372188549034047e-09
6.101500000000000000e+03 6.492201118503780574e-08 8.856307015270875837e-10 5.115031502877932090e-10 -1.056521486760518571e-09
6.301500000000000000e+03 5.536411412122055458e-08 7.545581067398586791e-10 4.585816077309749432e-10 -9.683211220996962907e-10
6.501500000000000000e+03 4.630920476909815398e-08 6.219404775239499104e-10 4.026395891256745395e-10 -8.671851480707687104e-10
6.701500000000000000e+03 4.183212371321994929e-08 5.226914530333901394e-10 3.558347657209680676e-10 -5.730230469601067951e-10
6.901500000000000000e+03 3.612572548319485198e-08 4.479244057668348588e-10 3.168615275518528617e-10 -5.370839301684255552e-10
7.101500000000000000e+03 3.199486843735550363e-08 3.890454662491662618e-10 2.832892668477356254e-10 -5.075816198548818097e-10
7.301500000000000000e+03 2.846297272273367715e-08 3.521796054490138156e-10 2.476575783939598485e-10 -3.657496158057038448e-10
7.501500000000000000e+03 2.593343061591683066e-08 3.153064454213906235e-10 2.377747609443754112e-10 -3.465949602725930371e-10
7.701500000000000000e+03 2.375178319140051479e-08 2.790572690498035211e-10 2.061803938888024079e-10 -3.577829391238006080e-10
7.901500000000000000e+03 2.036252735006302700e-08 2.446547422534840061e-10 1.897767925006963013e-10 -3.066304188200572700e-10
8.101500000000000000e+03 1.849001519051046194e-08 2.232559652932770189e-10 1.656947323001276896e-10 -3.183615513122328641e-10
8.301500000000000000e+03 1.673356273240746143e-08 1.947558139551751943e-10 1.517904217339799022e-10 -2.534675926923479601e-10
8.501500000000000000e+03 1.570327114128632521e-08 1.723741708324905288e-10 1.355601946040102209e-10 -1.893898336812735832e-10
8.701500000000000000e+03 1.396888708738824814e-08 1.623072971966570886e-10 1.272167262519820507e-10 -1.984132785969402481e-10
8.901500000000000000e+03 1.307993958936861247e-08 1.456678939227502087e-10 1.175616764067200968e-10 -1.754246718928588713e-10
9.101500000000000000e+03 1.161472937085857248e-08 1.304979304253243503e-10 1.085208692379546797e-10 -1.605162320660635305e-10
9.301500000000000000e+03 1.087021755994128466e-08 1.171225099415566071e-10 9.811238699310398832e-11 -1.525069545145391290e-10
9.501500000000000000e+03 1.015031292137209417e-08 1.086642559146274554e-10 9.071562751843442821e-11 -1.181521853209068270e-10
9.701500000000000000e+03 9.099729023634603225e-09 9.654238658114150808e-11 8.324818947673594779e-11 -1.121193818334994139e-10
9.901500000000000000e+03 8.542020359962595088e-09 9.419703735765154259e-11 7.807125265356598136e-11 -1.085762890472513724e-10
1.010150000000000000e+04 7.515751066217857098e-09 8.407393338219475893e-11 7.303397409993537207e-11 -9.919327356480021915e-11
1.030150000000000000e+04 7.253213823102162709e-09 7.902341293302148109e-11 6.714077955182644664e-11 -8.259324224722896278e-11
1.050150000000000000e+04 6.612705698506067852e-09 7.239632159642898330e-11 6.174404877301820463e-11 -7.356761923445761059e-11
1.070150000000000000e+04 6.209565521698792396e-09 6.707941567478317737e-11 5.900419628882871785e-11 -8.214136675384776869e-11
1.090150000000000000e+04 5.993436108952088077e-09 6.437424110268470715e-11 5.439987221270876231e-11 -7.137492326762507176e-11
1.110150000000000000e+04 5.394682896021619755e-09 5.571114656093155226e-11 5.097210591281626234e-11 -7.161999160237301534e-11
1.130150000000000000e+04 5.215832893763582473e-09 5.191176672810458612e-11 4.721558133374057903e-11 -6.178561507626195148e-11
1.150150000000000000e+04 4.856600362343122996e-09 5.196559994835748810e-11 4.370984102118218470e-11 -6.742792425568438088e-11
1.170150000000000000e+04 4.519622572074149000e-09 4.592963428161162202e-11 4.056372612220295808e-11 -6.105969602041977993e-11
1.190150000000000000e+04 4.130008352858296738e-09 4.303332682697809515e-11 3.924360655649788606e-11 -5.219411182561121607e-11
1.210150000000000000e+04 3.835076357340971955e-09 4.182281542852180213e-11 3.559532455823417833e-11 -4.671331474024932592e-11
1.230150000000000000e+04 3.657285020186315440e-09 3.841243435661834097e-11 3.406786816408361311e-11 -5.328923613741332680e-11
1.250150000000000000e+04 3.293168556291660298e-09 3.448427464861839259e-11 3.228797537454197869e-11 -3.489149135842704301e-11
1.270150000000000000e+04 3.244133333655152919e-09 3.251414140749851406e-11 2.982016361538050351e-11 -3.683323232814512919e-11
1.290150000000000000e+04 2.991758323534086131e-09 3.172023034380955502e-11 2.905182904704631259e-11 -3.431576376330709658e-11
