# ells, kk
1.015000000000000000e+02 1.047949776229106125e-07
3.015000000000000000e+02 5.032358291509657117e-08
5.015000000000000000e+02 2.352578186292432233e-08
7.015000000000000000e+02 1.541658335927065356e-08
9.015000000000000000e+02 1.070034496855116617e-08
1.101500000000000000e+03 8.075797242473314573e-09
1.301500000000000000e+03 5.832450002555190749e-09
1.501500000000000000e+03 4.784090615501600378e-09
1.701500000000000000e+03 3.635906274594246983e-09
1.901500000000000000e+03 3.072252794394121382e-09
2.101500000000000000e+03 2.681446572320845772e-09
2.301500000000000000e+03 2.222713808197840091e-09
2.501500000000000000e+03 1.912657788622282474e-09
2.701500000000000000e+03 1.663135486013989589e-09
2.901500000000000000e+03 1.418889506843687374e-09
3.101500000000000000e+03 1.317952079805253916e-09
3.301500000000000000e+03 1.150357838634839563e-09
3.501500000000000000e+03 1.057259893066730197e-09
3.701500000000000000e+03 9.549021033006222099e-10
3.901500000000000000e+03 8.640022131354941165e-10
4.101500000000000000e+03 8.201158135336239720e-10
4.301500000000000000e+03 7.370245951968527536e-10
4.501500000000000000e+03 6.869399453886618442e-10
4.701500000000000000e+03 6.400632291796489795e-10
4.901500000000000000e+03 5.989155486412811534e-10
5.101500000000000000e+03 5.398926304935892333e-10
5.301500000000000000e+03 5.013607918619484214e-10
5.501500000000000000e+03 4.911942388720963286e-10
5.701500000000000000e+03 4.748673588327214535e-10
5.901500000000000000e+03 4.255246106583033216e-10
6.101500000000000000e+03 4.049646862437714130e-10
6.301500000000000000e+03 3.833216462972673164e-10
6.501500000000000000e+03 3.670400616516980806e-10
6.701500000000000000e+03 3.411040991059090112e-10
6.901500000000000000e+03 3.136923517718389706e-10
7.101500000000000000e+03 3.167295268481768337e-10
7.301500000000000000e+03 2.917070749413285103e-10
7.501500000000000000e+03 2.817803494903840447e-10
7.701500000000000000e+03 2.623726658405909436e-10
7.901500000000000000e+03 2.592550153770083629e-10
8.101500000000000000e+03 2.431019164195414187e-10
8.301500000000000000e+03 2.351227199157790336e-10
8.501500000000000000e+03 2.205395989777995868e-10
8.701500000000000000e+03 2.133910181098427923e-10
8.901500000000000000e+03 2.039900028143296890e-10
9.101500000000000000e+03 2.042827299534551191e-10
9.301500000000000000e+03 1.932671754975445110e-10
9.501500000000000000e+03 1.854841696811679428e-10
9.701500000000000000e+03 1.767728629083234748e-10
9.901500000000000000e+03 1.762072589292370565e-10
1.010150000000000000e+04 1.688774993288288503e-10
1.030150000000000000e+04 1.562281838113379625e-10
1.050150000000000000e+04 1.578757749234748840e-10
1.070150000000000000e+04 1.518175930465374903e-10
1.090150000000000000e+04 1.425386249446731273e-10
1.110150000000000000e+04 1.363173769601595490e-10
1.130150000000000000e+04 1.378500828975653880e-10
1.150150000000000000e+04 1.355561675828053378e-10
1.170150000000000000e+04 1.294410300845196940e-10
1.190150000000000000e+04 1.240143083115596446e-10
1.210150000000000000e+04 1.195838608144695293e-10
1.230150000000000000e+04 1.178450503144767863e-10
1.250150000000000000e+04 1.163795709959087074e-10
1.270150000000000000e+04 1.125922469116609045e-10
1.290150000000000000e+04 1.075403527678269081e-10
1.310150000000000000e+04 1.049026360212519929e-10
1.330150000000000000e+04 1.007051274733605599e-10
1.350150000000000000e+04 9.932042697574369775e-11
1.370150000000000000e+04 9.632958293756933500e-11
1.390150000000000000e+04 9.684720081545482932e-11
1.410150000000000000e+04 9.289447624710288964e-11
1.430150000000000000e+04 8.843128454237067269e-11
1.450150000000000000e+04 8.476539086697010327e-11
1.470150000000000000e+04 8.765615862267835523e-11
1.490150000000000000e+04 8.149416808676207936e-11
1.510150000000000000e+04 8.057996186955556765e-11
1.530150000000000000e+04 7.940137072233059181e-11
1.550150000000000000e+04 7.723724799911086884e-11
1.570150000000000000e+04 7.645019449025123460e-11
1.590150000000000000e+04 7.521089114989137790e-11
1.610150000000000000e+04 7.228284548188995258e-11
1.630150000000000000e+04 6.971966684187161856e-11
1.650150000000000000e+04 6.947776774730504014e-11
1.670150000000000000e+04 6.721773090665754408e-11
1.690150000000000000e+04 6.643225299801193471e-11
1.710150000000000000e+04 6.516584670934042287e-11
1.730150000000000000e+04 6.270212839060660301e-11
1.750150000000000000e+04 6.271353009920630860e-11
1.770150000000000000e+04 6.046735230808293646e-11
1.790150000000000000e+04 5.871898228430834742e-11
1.810150000000000000e+04 5.784324594458192702e-11
1.830150000000000000e+04 5.687193246086790176e-11
1.850150000000000000e+04 5.600792501929135759e-11
1.870150000000000000e+04 5.395588864768364574e-11
1.890150000000000000e+04 5.258547213847906207e-11
1.910150000000000000e+04 5.275749021956139262e-11
1.930150000000000000e+04 5.147162628174249815e-11
1.950150000000000000e+04 5.199456318937563765e-11
1.970150000000000000e+04 4.974442020350337476e-11
1.990150000000000000e+04 4.888957441565211691e-11
2.010150000000000000e+04 4.740651640482290865e-11
2.030150000000000000e+04 4.698212137150100958e-11
2.050150000000000000e+04 4.484165038692910512e-11
2.070150000000000000e+04 4.795697143431506242e-11
