# ells, tt
1.015000000000000000e+02 6.222244653883949602e-06
3.015000000000000000e+02 7.973965171451131639e-06
5.015000000000000000e+02 7.765581574482034694e-06
7.015000000000000000e+02 6.659100235628477712e-06
9.015000000000000000e+02 5.033494746259411000e-06
1.101500000000000000e+03 4.143066918493895427e-06
1.301500000000000000e+03 3.144748099231030174e-06
1.501500000000000000e+03 2.422110532486004369e-06
1.701500000000000000e+03 1.923610385186768195e-06
1.901500000000000000e+03 1.642325734353131953e-06
2.101500000000000000e+03 1.411814744291223365e-06
2.301500000000000000e+03 1.135129563668501196e-06
2.501500000000000000e+03 1.046944678943900011e-06
2.701500000000000000e+03 8.575636692089889477e-07
2.901500000000000000e+03 7.263811699653213387e-07
3.101500000000000000e+03 7.023973987006908805e-07
3.301500000000000000e+03 6.209838500648570305e-07
3.501500000000000000e+03 5.570297554327690020e-07
3.701500000000000000e+03 5.016836105942780468e-07
3.901500000000000000e+03 4.429776232081706488e-07
4.101500000000000000e+03 4.322745055763198696e-07
4.301500000000000000e+03 3.770138382285515765e-07
4.501500000000000000e+03 3.374096200059445299e-07
4.701500000000000000e+03 3.084569651310218085e-07
4.901500000000000000e+03 2.920346483857289850e-07
5.101500000000000000e+03 2.673556949545281817e-07
5.301500000000000000e+03 2.411941145896077222e-07
5.501500000000000000e+03 2.236880192319329474e-07
5.701500000000000000e+03 2.160081669898426535e-07
5.901500000000000000e+03 1.973798071405911102e-07
6.101500000000000000e+03 1.869684398020912466e-07
6.301500000000000000e+03 1.752720781852929053e-07
6.501500000000000000e+03 1.629431351880849021e-07
6.701500000000000000e+03 1.535781111126227244e-07
6.901500000000000000e+03 1.476206944430463772e-07
7.101500000000000000e+03 1.336007615158171373e-07
7.301500000000000000e+03 1.292003228083496099e-07
7.501500000000000000e+03 1.191642314301746407e-07
7.701500000000000000e+03 1.193304527439880232e-07
7.901500000000000000e+03 1.119868629119063912e-07
8.101500000000000000e+03 1.016749291089082367e-07
8.301500000000000000e+03 9.870514794834900650e-08
8.501500000000000000e+03 9.282605656487883932e-08
8.701500000000000000e+03 8.862691984429593310e-08
8.901500000000000000e+03 8.330442293780729592e-08
9.101500000000000000e+03 8.291277890963014921e-08
9.301500000000000000e+03 7.764393425810387193e-08
9.501500000000000000e+03 7.396044842699687153e-08
9.701500000000000000e+03 6.969230561736416659e-08
9.901500000000000000e+03 6.846678683909573720e-08
1.010150000000000000e+04 6.530723905045331616e-08
1.030150000000000000e+04 6.031646329940411831e-08
1.050150000000000000e+04 6.045111741152594541e-08
1.070150000000000000e+04 5.757821311878320831e-08
1.090150000000000000e+04 5.407217538939877623e-08
1.110150000000000000e+04 5.170587895136044099e-08
1.130150000000000000e+04 5.166429083003887070e-08
1.150150000000000000e+04 4.978533083161114222e-08
1.170150000000000000e+04 4.766832379975023222e-08
1.190150000000000000e+04 4.551147086536791570e-08
1.210150000000000000e+04 4.362675505748183507e-08
1.230150000000000000e+04 4.258133589113944853e-08
1.250150000000000000e+04 4.183158893463019092e-08
1.270150000000000000e+04 4.031602167201889901e-08
1.290150000000000000e+04 3.819743480905009124e-08
1.310150000000000000e+04 3.703069838192355491e-08
1.330150000000000000e+04 3.546685599513704122e-08
1.350150000000000000e+04 3.467124408018422664e-08
1.370150000000000000e+04 3.338730623672621845e-08
1.390150000000000000e+04 3.317442325418028946e-08
1.410150000000000000e+04 3.174333885114315177e-08
1.430150000000000000e+04 3.003686666134243712e-08
1.450150000000000000e+04 2.873279720795457059e-08
1.470150000000000000e+04 2.934756871853037333e-08
1.490150000000000000e+04 2.726286289879039557e-08
1.510150000000000000e+04 2.684579867301014018e-08
1.530150000000000000e+04 2.651574374141272791e-08
1.550150000000000000e+04 2.576095267621482648e-08
1.570150000000000000e+04 2.519300691754807410e-08
1.590150000000000000e+04 2.453258516745032925e-08
1.610150000000000000e+04 2.360947096640632699e-08
1.630150000000000000e+04 2.280962260394588569e-08
1.650150000000000000e+04 2.254810212291082072e-08
1.670150000000000000e+04 2.170964562300655639e-08
1.690150000000000000e+04 2.137956460532438662e-08
1.710150000000000000e+04 2.079480181124904912e-08
1.730150000000000000e+04 2.007831395238184624e-08
1.750150000000000000e+04 1.985391583307212673e-08
1.770150000000000000e+04 1.913699552716804060e-08
1.790150000000000000e+04 1.853504830320291684e-08
1.810150000000000000e+04 1.823400905349127138e-08
1.830150000000000000e+04 1.789394170143688310e-08
1.850150000000000000e+04 1.750107808438183983e-08
1.870150000000000000e+04 1.679873275134533689e-08
1.890150000000000000e+04 1.629729894044258856e-08
1.910150000000000000e+04 1.635495650144190574e-08
1.930150000000000000e+04 1.577541227068880343e-08
1.950150000000000000e+04 1.589479042316132888e-08
1.970150000000000000e+04 1.518504754367170213e-08
1.990150000000000000e+04 1.484977422205756987e-08
2.010150000000000000e+04 1.432812441682190486e-08
2.030150000000000000e+04 1.419066028247335677e-08
2.050150000000000000e+04 1.350295891267325436e-08
2.070150000000000000e+04 1.445933480435334385e-08
