,z,RADeg,decDeg,comoving_pos_x_Mpc,comoving_pos_y_Mpc,comoving_pos_z_Mpc,pec_vel_x_km_s,pec_vel_y_km_s,pec_vel_z_km_s,Mfof,Mvir,Mgas_vir,Rvir,int_tSZ_in_Rvir,int_kSZ_in_Rvir,int_SZ_in_Rvir_148GHz,int_SZ_in_Rvir_219GHz,int_SZ_in_Rvir_277GHz,int_SZ_in_Rvir_30GHz,int_SZ_in_Rvir_90GHz,int_SZ_in_Rvir_350GHz,M200,Mgas_200,R200,int_tSZ_in_R200,int_kSZ_in_R200,int_SZ_in_R200_148GHz,int_SZ_in_R200_219GHz,int_SZ_in_R200_277GHz,int_SZ_in_R200_30GHz,int_SZ_in_R200_90GHz,int_SZ_in_R200_350GHz,M500,Mgas_500,R500,int_tSZ_in_R500,int_kSZ_in_R500,int_SZ_in_R500_148GHz,int_SZ_in_R500_219GHz,int_SZ_in_R500_277GHz,int_SZ_in_R500_30GHz,int_SZ_in_R500_90GHz,int_SZ_in_R500_350GHz,Mstar,rho_gas_c,T_c,P_c,Phi_c
0,0.0219,1.801732,10.85195,90.76815,2.855251,17.40887,-56.63554,15.78387,231.7652,39310650000000.0,12494830000000.0,512394000000.0,0.6133774,0.0001017087,4.710905e-06,-9.455931e-05,6.613301e-06,0.0001004089,-0.0001937256,-0.0001574415,0.0002256543,9707521000000.0,254493000000.0,0.4340647,6.037375e-05,2.687148e-06,-5.623007e-05,3.807366e-06,5.946371e-05,-0.000115094,-9.355324e-05,0.0001337934,6535756000000.0,103506700000.0,0.2819756,3.044354e-05,1.291197e-06,-2.841205e-05,1.850203e-06,2.990192e-05,-5.809385e-05,-4.723017e-05,6.737285e-05,542400500000.0,4913000000000.0,0.746158,623700000000.0,-0.502374
1,0.0423,2.529566,3.014885999999998,177.0944,7.823671,9.336363,188.6993,228.877,384.1528,36619460000000.0,32871010000000.0,2344250000000.0,0.8341547,8.519081e-05,-6.836184e-05,-0.0001512757,-6.652873e-05,1.184679e-05,-0.0002346136,-0.0002040853,0.0001162928,28738110000000.0,1727689000000.0,0.623993,7.163649e-05,-5.394797e-05,-0.0001236516,-5.242173e-05,1.344734e-05,-0.0001937257,-0.0001680513,0.0001012463,18646130000000.0,938591700000.0,0.3952828,4.9225e-05,-3.353077e-05,-8.140648e-05,-3.250045e-05,1.271805e-05,-0.0001295535,-0.000111907,7.301476e-05,1113999000000.0,24020000000000.0,0.8657383,3538000000000.0,-0.698815
2,0.0444,3.532866,3.6299360000000047,185.229,11.43574,11.77316,28.2324,124.0129,323.46,99574170000000.0,57091760000000.0,5969652000000.0,0.9821765,0.0003737134,-4.79213e-05,-0.0004114653,-4.153273e-05,0.0003008404,-0.0007761267,-0.0006423588,0.0007589039,44981380000000.0,3870988000000.0,0.7185677,0.0002858365,-3.453788e-05,-0.0003125007,-2.974855e-05,0.0002319033,-0.0005914072,-0.0004890651,0.0005820925,28449760000000.0,1928767000000.0,0.4543761,0.0001792584,-1.987297e-05,-0.0001940981,-1.69671e-05,0.0001469097,-0.0003690045,-0.0003047924,0.0003663628,1726455000000.0,38520000000000.0,1.453384,9525000000000.0,-1.213
3,0.0447,6.946366,2.7903449999999945,185.4466,22.59379,9.105365,30.92059,-98.11845,173.3096,64396420000000.0,52478280000000.0,5104574000000.0,0.961697,0.0002271222,-1.57532e-05,-0.0002368186,-1.187729e-05,0.0001963973,-0.0004583254,-0.0003771062,0.0004750238,43924130000000.0,3823923000000.0,0.7124588,0.0001942154,-1.258752e-05,-0.0002015653,-9.334016e-06,0.0001686315,-0.0003909766,-0.000321506,0.0004067887,34024380000000.0,2472344000000.0,0.4824203,0.0001494893,-8.825502e-06,-0.0001542153,-6.392425e-06,0.0001304339,-0.0003000044,-0.00024651,0.0003136286,1510850000000.0,62310000000000.0,1.342298,14230000000000.0,-1.146
4,0.0468,7.244249000000001,6.5713810000000015,192.9125,24.52189,22.40191,24.96284,-3.871975,146.3434,32294330000000.0,28449760000000.0,1549993000000.0,0.7858243,4.741744e-05,-7.619359e-06,-5.385451e-05,-6.70309e-06,3.698541e-05,-0.0001001072,-8.31789e-05,9.529724e-05,22682920000000.0,1041033000000.0,0.5766943,3.695501e-05,-5.579338e-06,-4.160545e-05,-4.873006e-06,2.915878e-05,-7.765246e-05,-6.445687e-05,7.459162e-05,14321000000000.0,524334700000.0,0.3661285,2.322643e-05,-3.202557e-06,-2.58377e-05,-2.766427e-06,1.860564e-05,-4.849319e-05,-4.019726e-05,4.714765e-05,1041261000000.0,14970000000000.0,0.8084187,2059000000000.0,-0.617958
5,0.0484,9.739713,7.794863999999995,197.9812,33.98279,27.49831,48.34899,-117.3106,-39.15602,29218680000000.0,26527480000000.0,1438841000000.0,0.7618059,3.985975e-05,-3.574758e-06,-4.245288e-05,-2.811796e-06,3.392597e-05,-8.132463e-05,-6.709965e-05,8.296613e-05,22106240000000.0,997642500000.0,0.5697266,3.166574e-05,-2.665023e-06,-3.354467e-05,-2.065437e-06,2.710577e-05,-6.44253e-05,-5.312253e-05,6.605397e-05,13359860000000.0,497469000000.0,0.3536841,2.055944e-05,-1.572574e-06,-2.161492e-05,-1.190308e-06,1.773414e-05,-4.166442e-05,-3.432374e-05,4.301032e-05,967457300000.0,22880000000000.0,0.8472205,3298000000000.0,-0.662706
6,0.0513,8.561715,6.318301000000001,211.0979,31.78129,23.63709,145.6307,50.14489,130.1331,29891470000000.0,28449760000000.0,1855811000000.0,0.7780942,4.192869e-05,-2.746553e-05,-6.827843e-05,-2.658781e-05,1.19917e-05,-0.0001092382,-9.423901e-05,6.342354e-05,26335250000000.0,1498427000000.0,0.6000625,3.697991e-05,-2.267459e-05,-5.866358e-05,-2.190737e-05,1.210339e-05,-9.478845e-05,-8.155755e-05,5.745331e-05,20183950000000.0,1009406000000.0,0.4060556,2.943384e-05,-1.643438e-05,-4.507101e-05,-1.583241e-05,1.121901e-05,-7.382376e-05,-6.329013e-05,4.730053e-05,934290200000.0,38550000000000.0,0.8509215,5581000000000.0,-0.71577
7,0.0512,1.916714,10.84788,210.0851,7.030592,40.28041,-3.331804,-24.53488,429.4409,47576460000000.0,41905730000000.0,3311292000000.0,0.8814555,0.0001015774,-2.354054e-05,-0.0001224855,-2.163634e-05,7.173167e-05,-0.0002216591,-0.0001853216,0.0001964461,36331120000000.0,2429775000000.0,0.6684686,8.508562e-05,-1.861625e-05,-0.0001014753,-1.704128e-05,6.112177e-05,-0.0001845442,-0.000154101,0.0001655521,23163490000000.0,1287321000000.0,0.4263844,5.619457e-05,-1.117829e-05,-6.587659e-05,-1.016256e-05,4.140448e-05,-0.000120736,-0.0001006232,0.0001103323,1372832000000.0,26700000000000.0,1.045204,4748000000000.0,-0.831897
8,0.0598,10.49415,2.5776340000000006,244.978,45.37811,11.21617,240.2007,214.8405,492.958,31429300000000.0,21529550000000.0,1532305000000.0,0.7097767,3.800048e-05,-3.918144e-05,-7.613966e-05,-3.832336e-05,-3.377739e-06,-0.0001133606,-9.97218e-05,4.315534e-05,16819960000000.0,909394100000.0,0.5172164,2.637227e-05,-2.578157e-05,-5.142344e-05,-2.519181e-05,-9.535481e-07,-7.725287e-05,-6.778638e-05,3.132909e-05,12302600000000.0,456893600000.0,0.3421,1.593531e-05,-1.459982e-05,-3.008836e-05,-1.424802e-05,3.869296e-07,-4.569435e-05,-3.997329e-05,1.988485e-05,809511100000.0,12320000000000.0,0.8377523,1756000000000.0,-0.5732
9,0.0562,6.331678,8.078892000000002,230.7453,25.60366,32.95421,259.5357,277.3143,356.4198,34408840000000.0,30852620000000.0,2211351000000.0,0.7957064,4.723526e-05,-5.663473e-05,-0.0001025329,-5.554809e-05,-1.214854e-05,-0.0001488074,-0.0001318471,4.562447e-05,26239140000000.0,1650399000000.0,0.5987563,3.956876e-05,-4.432477e-05,-8.27621e-05,-4.342396e-05,-7.091071e-06,-0.0001215231,-0.0001073136,4.128694e-05,18165560000000.0,976929800000.0,0.3902586,2.848189e-05,-2.880321e-05,-5.645754e-05,-2.816617e-05,-2.040263e-06,-8.435511e-05,-7.412439e-05,3.276143e-05,1044670000000.0,44680000000000.0,0.9697817,7372000000000.0,-0.799722
