# ells, kk
1.015000000000000000e+02 2.170191880121491917e-07
3.015000000000000000e+02 6.336981316481191311e-08
5.015000000000000000e+02 3.100587393696548166e-08
7.015000000000000000e+02 1.783142642918679288e-08
9.015000000000000000e+02 1.166386394112905362e-08
1.101500000000000000e+03 8.199691790250640848e-09
1.301500000000000000e+03 6.089830918442544446e-09
1.501500000000000000e+03 4.719270721591341521e-09
1.701500000000000000e+03 3.769747871222130774e-09
1.901500000000000000e+03 3.088719830091155229e-09
2.101500000000000000e+03 2.583465423796518551e-09
2.301500000000000000e+03 2.196757464222979154e-09
2.501500000000000000e+03 1.894500702831508139e-09
2.701500000000000000e+03 1.653497034999728533e-09
2.901500000000000000e+03 1.457821435342172483e-09
3.101500000000000000e+03 1.296696451681015037e-09
3.301500000000000000e+03 1.162290768200089566e-09
3.501500000000000000e+03 1.048846716479544150e-09
3.701500000000000000e+03 9.521391559446860042e-10
3.901500000000000000e+03 8.689525374086975258e-10
4.101500000000000000e+03 7.968041675454834397e-10
4.301500000000000000e+03 7.337731983229235959e-10
4.501500000000000000e+03 6.783424367943251966e-10
4.701500000000000000e+03 6.292991728465660048e-10
4.901500000000000000e+03 5.856695570874549901e-10
5.101500000000000000e+03 5.466591638914646088e-10
5.301500000000000000e+03 5.116176075162192331e-10
5.501500000000000000e+03 4.800069834149675638e-10
5.701500000000000000e+03 4.513786858776634258e-10
5.901500000000000000e+03 4.253568229991586022e-10
6.101500000000000000e+03 4.016238924499790181e-10
6.301500000000000000e+03 3.799101719355958263e-10
6.501500000000000000e+03 3.599854817739698265e-10
6.701500000000000000e+03 3.416521192648510759e-10
6.901500000000000000e+03 3.247394963538461795e-10
7.101500000000000000e+03 3.090998018861926394e-10
7.301500000000000000e+03 2.946043608056579213e-10
7.501500000000000000e+03 2.811406959868943175e-10
7.701500000000000000e+03 2.686101353100605333e-10
7.901500000000000000e+03 2.569257544486648610e-10
8.101500000000000000e+03 2.460107037654662802e-10
8.301500000000000000e+03 2.357968781574691552e-10
8.501500000000000000e+03 2.262237445663278216e-10
8.701500000000000000e+03 2.172373073283394379e-10
8.901500000000000000e+03 2.087892405126819274e-10
9.101500000000000000e+03 2.008361931667802854e-10
9.301500000000000000e+03 1.933391846387158549e-10
9.501500000000000000e+03 1.862630843280771839e-10
9.701500000000000000e+03 1.795761494580804823e-10
9.901500000000000000e+03 1.732496425215547822e-10
1.010150000000000000e+04 1.672574664969575721e-10
1.030150000000000000e+04 1.615759363867478616e-10
1.050150000000000000e+04 1.561834089843259556e-10
1.070150000000000000e+04 1.510601604247070531e-10
1.090150000000000000e+04 1.461881828008787106e-10
1.110150000000000000e+04 1.415509669932152200e-10
1.130150000000000000e+04 1.371331021789420849e-10
1.150150000000000000e+04 1.329211301388622841e-10
1.170150000000000000e+04 1.289021218098682573e-10
1.190150000000000000e+04 1.250635755458563906e-10
1.210150000000000000e+04 1.213949475315458219e-10
1.230150000000000000e+04 1.178868097273788992e-10
1.250150000000000000e+04 1.145298436109708362e-10
1.270150000000000000e+04 1.113148250293245622e-10
1.290150000000000000e+04 1.082328382448981625e-10
1.310150000000000000e+04 1.052766992490897361e-10
1.330150000000000000e+04 1.024403434327319973e-10
1.350150000000000000e+04 9.971778778669765791e-11
1.370150000000000000e+04 9.710311028982187375e-11
1.390150000000000000e+04 9.459044770262631438e-11
1.410150000000000000e+04 9.217399276532272223e-11
1.430150000000000000e+04 8.984798506475238202e-11
1.450150000000000000e+04 8.760727323300661114e-11
1.470150000000000000e+04 8.544817409568679811e-11
1.490150000000000000e+04 8.336737825247986399e-11
1.510150000000000000e+04 8.136159833471857897e-11
1.530150000000000000e+04 7.942757845114066290e-11
1.550150000000000000e+04 7.756209271199844653e-11
1.570150000000000000e+04 7.576194327698172125e-11
1.590150000000000000e+04 7.402395991580963961e-11
1.610150000000000000e+04 7.234499860214749255e-11
1.630150000000000000e+04 7.072194075725440617e-11
1.650150000000000000e+04 6.915168733376185796e-11
1.670150000000000000e+04 6.763127290745838842e-11
1.690150000000000000e+04 6.615859720832832465e-11
1.710150000000000000e+04 6.473211356819070268e-11
1.730150000000000000e+04 6.335029726013364913e-11
1.750150000000000000e+04 6.201163718037081272e-11
1.770150000000000000e+04 6.071463388200255884e-11
1.790150000000000000e+04 5.945780108959035324e-11
1.810150000000000000e+04 5.823966335862972832e-11
1.830150000000000000e+04 5.705875706211435676e-11
1.850150000000000000e+04 5.591362983982946927e-11
1.870150000000000000e+04 5.480284017782645966e-11
1.890150000000000000e+04 5.372495568621880674e-11
1.910150000000000000e+04 5.267855255456602304e-11
1.930150000000000000e+04 5.166222463397663490e-11
1.950150000000000000e+04 5.067458007296762328e-11
1.970150000000000000e+04 4.971420427676547484e-11
1.990150000000000000e+04 4.877969003522685047e-11
2.010150000000000000e+04 4.787017088808890644e-11
2.030150000000000000e+04 4.699280004878334968e-11
2.050150000000000000e+04 4.608409520734120487e-11
2.070150000000000000e+04 4.752656138409627839e-11
