# ells, tt
1.015000000000000000e+02 9.609669495763359381e-02
3.015000000000000000e+02 2.033235642055333248e-01
5.015000000000000000e+02 3.266894372578786343e-01
7.015000000000000000e+02 4.515958669260757841e-01
9.015000000000000000e+02 5.628113697858712072e-01
1.101500000000000000e+03 6.663932022929096588e-01
1.301500000000000000e+03 7.492675685096986671e-01
1.501500000000000000e+03 8.192615958538589371e-01
1.701500000000000000e+03 8.787385997240841906e-01
1.901500000000000000e+03 9.112282942634922778e-01
2.101500000000000000e+03 9.376122385826621830e-01
2.301500000000000000e+03 9.608245096788770034e-01
2.501500000000000000e+03 9.846476720559683704e-01
2.701500000000000000e+03 1.010169679879380888e+00
2.901500000000000000e+03 1.035115931855036919e+00
3.101500000000000000e+03 1.046267922913169723e+00
3.301500000000000000e+03 1.046774726535532274e+00
3.501500000000000000e+03 1.049082616437838178e+00
3.701500000000000000e+03 1.061698228175703917e+00
3.901500000000000000e+03 1.073214079940879362e+00
4.101500000000000000e+03 1.082627642340060925e+00
4.301500000000000000e+03 1.085193327248989981e+00
4.501500000000000000e+03 1.087353882727165155e+00
4.701500000000000000e+03 1.088763806517766275e+00
4.901500000000000000e+03 1.091696463062715505e+00
5.101500000000000000e+03 1.095640000386226998e+00
5.301500000000000000e+03 1.099492369761825517e+00
5.501500000000000000e+03 1.103172202249852685e+00
5.701500000000000000e+03 1.105054818482577028e+00
5.901500000000000000e+03 1.106179993626510649e+00
6.101500000000000000e+03 1.105031411930284868e+00
6.301500000000000000e+03 1.103471753952974144e+00
6.501500000000000000e+03 1.102833354289497469e+00
6.701500000000000000e+03 1.102978631321821057e+00
6.901500000000000000e+03 1.103057003335108366e+00
7.101500000000000000e+03 1.103101366426401997e+00
7.301500000000000000e+03 1.103141755678023861e+00
7.501500000000000000e+03 1.102463507888882033e+00
7.701500000000000000e+03 1.099007703775448874e+00
7.901500000000000000e+03 1.095217465676268764e+00
8.101500000000000000e+03 1.091407813336253474e+00
8.301500000000000000e+03 1.087566321000426495e+00
8.501500000000000000e+03 1.083696093787623882e+00
8.701500000000000000e+03 1.079766015066986107e+00
8.901500000000000000e+03 1.075743417611110253e+00
9.101500000000000000e+03 1.071694384118639931e+00
9.301500000000000000e+03 1.067619556048369667e+00
9.501500000000000000e+03 1.063530130082903202e+00
9.701500000000000000e+03 1.058508892538235990e+00
9.901500000000000000e+03 1.052914114753120467e+00
1.010150000000000000e+04 1.050971795959796617e+00
1.030150000000000000e+04 1.048587877777472643e+00
1.050150000000000000e+04 1.046134295685779092e+00
1.070150000000000000e+04 1.043665136500951718e+00
1.090150000000000000e+04 1.041179045157137217e+00
1.110150000000000000e+04 1.038676700757238613e+00
1.130150000000000000e+04 1.036158637564834173e+00
1.150150000000000000e+04 1.033625361033019718e+00
1.170150000000000000e+04 1.031077362461950475e+00
1.190150000000000000e+04 1.028514921836219731e+00
1.210150000000000000e+04 1.025943579148854257e+00
1.230150000000000000e+04 1.023240626537873510e+00
1.250150000000000000e+04 1.020176414893871453e+00
1.270150000000000000e+04 1.017088898762065430e+00
1.290150000000000000e+04 1.013989071005251041e+00
1.310150000000000000e+04 1.010876768819259475e+00
1.330150000000000000e+04 1.007752341411918717e+00
1.350150000000000000e+04 1.004616111342151452e+00
1.370150000000000000e+04 1.001468389620349120e+00
1.390150000000000000e+04 9.983094738566911097e-01
1.410150000000000000e+04 9.951396104336944770e-01
1.430150000000000000e+04 9.919597229795675819e-01
1.450150000000000000e+04 9.887518859873006827e-01
1.470150000000000000e+04 9.859706768175674485e-01
1.490150000000000000e+04 9.839989592970364018e-01
1.510150000000000000e+04 9.820109203163936984e-01
1.530150000000000000e+04 9.800147846105063953e-01
1.550150000000000000e+04 9.780105500935866170e-01
1.570150000000000000e+04 9.759984318917912516e-01
1.590150000000000000e+04 9.739786134990070510e-01
1.610150000000000000e+04 9.719512696615033587e-01
1.630150000000000000e+04 9.699165687605358910e-01
1.650150000000000000e+04 9.678746735001129142e-01
1.670150000000000000e+04 9.658257407246054749e-01
1.690150000000000000e+04 9.637699216670824187e-01
1.710150000000000000e+04 9.617073631179979820e-01
1.730150000000000000e+04 9.596382069264178805e-01
1.750150000000000000e+04 9.575625891211737573e-01
1.770150000000000000e+04 9.554806420232787589e-01
1.790150000000000000e+04 9.533925039306238025e-01
1.810150000000000000e+04 9.512981604644936695e-01
1.830150000000000000e+04 9.492015555099583279e-01
1.850150000000000000e+04 9.470050672573843142e-01
1.870150000000000000e+04 9.446581522352458515e-01
1.890150000000000000e+04 9.423085215986728436e-01
1.910150000000000000e+04 9.399530844146424258e-01
1.930150000000000000e+04 9.375921602483494599e-01
1.950150000000000000e+04 9.352260615632892460e-01
1.970150000000000000e+04 9.328545249135630213e-01
1.990150000000000000e+04 9.304772771453169167e-01
2.010150000000000000e+04 9.281032641908621983e-01
2.030150000000000000e+04 9.258942303893802350e-01
2.050150000000000000e+04 9.225487068001470004e-01
2.070150000000000000e+04 9.670825858341731696e-01
