# ells, tt
1.015000000000000000e+02 2.639235829564632804e-02
3.015000000000000000e+02 -4.181516390017391352e-03
5.015000000000000000e+02 7.947442273166929272e-04
7.015000000000000000e+02 -1.083768744877375067e-04
9.015000000000000000e+02 3.992314735699720011e-05
1.101500000000000000e+03 1.800708698980738848e-05
1.301500000000000000e+03 1.971037739274291348e-05
1.501500000000000000e+03 2.296379916450824114e-05
1.701500000000000000e+03 1.821379601584741459e-05
1.901500000000000000e+03 1.290549858656677356e-05
2.101500000000000000e+03 1.478116593161225766e-05
2.301500000000000000e+03 1.351325808791441185e-05
2.501500000000000000e+03 1.342964549765620945e-05
2.701500000000000000e+03 8.966141948907831836e-06
2.901500000000000000e+03 9.470558147700150993e-06
3.101500000000000000e+03 8.608418466816250387e-06
3.301500000000000000e+03 8.436449982649742526e-06
3.501500000000000000e+03 9.841900083073118572e-06
3.701500000000000000e+03 7.342982103364765234e-06
3.901500000000000000e+03 6.889465877506409291e-06
4.101500000000000000e+03 5.299330207828926152e-06
4.301500000000000000e+03 5.107220504889453036e-06
4.501500000000000000e+03 5.363101936345360515e-06
4.701500000000000000e+03 4.083328285849833605e-06
4.901500000000000000e+03 4.318149359001774754e-06
5.101500000000000000e+03 3.495653378531950577e-06
5.301500000000000000e+03 3.161811313121911559e-06
5.501500000000000000e+03 4.302044776225787923e-06
5.701500000000000000e+03 3.635637663187006990e-06
5.901500000000000000e+03 2.564469241300649567e-06
6.101500000000000000e+03 2.964791167196264958e-06
6.301500000000000000e+03 2.794957572074709327e-06
6.501500000000000000e+03 2.579637077718005657e-06
6.701500000000000000e+03 2.316354390338815193e-06
6.901500000000000000e+03 2.448673979558921576e-06
7.101500000000000000e+03 2.092742064951537338e-06
7.301500000000000000e+03 1.889347344937738385e-06
7.501500000000000000e+03 1.722438628064037342e-06
7.701500000000000000e+03 1.675565099014708116e-06
7.901500000000000000e+03 1.533324369134569383e-06
8.101500000000000000e+03 1.535142703144618943e-06
8.301500000000000000e+03 1.586834650928773224e-06
8.501500000000000000e+03 1.054032820493929298e-06
8.701500000000000000e+03 1.483039753037596538e-06
8.901500000000000000e+03 9.513132526633613742e-07
9.101500000000000000e+03 1.197428686001030674e-06
9.301500000000000000e+03 1.031340892416348751e-06
9.501500000000000000e+03 1.012590965452470597e-06
9.701500000000000000e+03 1.101421327761838077e-06
9.901500000000000000e+03 8.555002075967106907e-07
1.010150000000000000e+04 8.978420426299908599e-07
1.030150000000000000e+04 9.458543542013237777e-07
1.050150000000000000e+04 7.062660156155972691e-07
1.070150000000000000e+04 7.372257344610444549e-07
1.090150000000000000e+04 6.405148477046326428e-07
1.110150000000000000e+04 6.858747585938068241e-07
1.130150000000000000e+04 5.764261231497762822e-07
1.150150000000000000e+04 6.774381741475584898e-07
1.170150000000000000e+04 5.204607016496021585e-07
1.190150000000000000e+04 5.549442411728322522e-07
1.210150000000000000e+04 5.084317624519226696e-07
1.230150000000000000e+04 5.603138837336801623e-07
1.250150000000000000e+04 4.964012304105299098e-07
1.270150000000000000e+04 4.938734675658347820e-07
1.290150000000000000e+04 4.339834026213431673e-07
1.310150000000000000e+04 4.949608667537965875e-07
1.330150000000000000e+04 3.282368128346547346e-07
1.350150000000000000e+04 3.736709136285429824e-07
1.370150000000000000e+04 3.645170375763341704e-07
1.390150000000000000e+04 3.751962061356960807e-07
1.410150000000000000e+04 3.665571038731686198e-07
1.430150000000000000e+04 3.311580971252385735e-07
1.450150000000000000e+04 3.289317084689183625e-07
1.470150000000000000e+04 2.606984210055060199e-07
1.490150000000000000e+04 2.859587198763540114e-07
1.510150000000000000e+04 2.636846547796517251e-07
1.530150000000000000e+04 2.825700007114250586e-07
1.550150000000000000e+04 2.617325047993845705e-07
1.570150000000000000e+04 2.648068544145196304e-07
1.590150000000000000e+04 2.217719669892588761e-07
1.610150000000000000e+04 2.423226661099164462e-07
1.630150000000000000e+04 2.251080267607356372e-07
1.650150000000000000e+04 1.914000559888773701e-07
1.670150000000000000e+04 2.085268062618614891e-07
1.690150000000000000e+04 1.913370804892532849e-07
1.710150000000000000e+04 1.839668619577777083e-07
1.730150000000000000e+04 2.033979848551832844e-07
1.750150000000000000e+04 1.798765313495160318e-07
1.770150000000000000e+04 1.885239548724368879e-07
1.790150000000000000e+04 1.540106148208602557e-07
1.810150000000000000e+04 1.569737985931960410e-07
1.830150000000000000e+04 1.905276452861037279e-07
1.850150000000000000e+04 1.515611424277827423e-07
1.870150000000000000e+04 1.538419458976981910e-07
1.890150000000000000e+04 1.441804304084226206e-07
1.910150000000000000e+04 1.560681927732326076e-07
1.930150000000000000e+04 1.410468703721022195e-07
1.950150000000000000e+04 1.634428766344386525e-07
1.970150000000000000e+04 1.451743551648210087e-07
1.990150000000000000e+04 1.319536477894988248e-07
2.010150000000000000e+04 1.255505776432967589e-07
2.030150000000000000e+04 1.288009110851276693e-07
2.050150000000000000e+04 1.143385703765367219e-07
2.070150000000000000e+04 1.455665636600430379e-07
