# ells, tt
1.015000000000000000e+02 9.469084113614938403e+00
3.015000000000000000e+02 -1.991935800807400625e+00
5.015000000000000000e+02 1.086307509265695082e+00
7.015000000000000000e+02 6.335149656606877677e-01
9.015000000000000000e+02 1.140194914637586709e-01
1.101500000000000000e+03 5.036147513200377457e-01
1.301500000000000000e+03 4.460265642555722998e-01
1.501500000000000000e+03 7.471473714532417265e-01
1.701500000000000000e+03 7.250005540414695693e-01
1.901500000000000000e+03 1.330405792207040694e+00
2.101500000000000000e+03 7.727684610364446982e-01
2.301500000000000000e+03 1.370132364792186808e+00
2.501500000000000000e+03 1.168637122165641085e+00
2.701500000000000000e+03 1.415860853493559723e+00
2.901500000000000000e+03 1.292686057242802722e+00
3.101500000000000000e+03 1.888968766275008759e+00
3.301500000000000000e+03 1.965893921541910228e+00
3.501500000000000000e+03 2.573532221987042679e+00
3.701500000000000000e+03 3.131478063062957951e+00
3.901500000000000000e+03 3.267545659722035367e+00
4.101500000000000000e+03 3.333767674120911018e+00
4.301500000000000000e+03 3.078564747010707148e+00
4.501500000000000000e+03 3.531196480552652783e+00
4.701500000000000000e+03 4.527218602735479713e+00
4.901500000000000000e+03 4.646959777636794797e+00
5.101500000000000000e+03 3.832412317963187043e+00
5.301500000000000000e+03 4.015252306213255906e+00
5.501500000000000000e+03 5.600181204517754807e+00
5.701500000000000000e+03 6.113987287906558876e+00
5.901500000000000000e+03 6.173866821163044527e+00
6.101500000000000000e+03 6.022603351827720886e+00
6.301500000000000000e+03 6.291514689824433404e+00
6.501500000000000000e+03 7.249233308950051580e+00
6.701500000000000000e+03 7.311920537118378860e+00
6.901500000000000000e+03 6.485785705980868343e+00
7.101500000000000000e+03 7.108923729593355390e+00
7.301500000000000000e+03 9.381927229866374063e+00
7.501500000000000000e+03 6.787170189515465246e+00
7.701500000000000000e+03 9.794365826321456581e+00
7.901500000000000000e+03 8.806997896282076965e+00
8.101500000000000000e+03 1.081062336079490116e+01
8.301500000000000000e+03 1.073756824990029202e+01
8.501500000000000000e+03 1.052613454962459016e+01
8.701500000000000000e+03 1.132829376741113592e+01
8.901500000000000000e+03 1.199255294964198626e+01
9.101500000000000000e+03 1.207791485451834390e+01
9.301500000000000000e+03 1.166602983300978380e+01
9.501500000000000000e+03 1.416417253540089050e+01
9.701500000000000000e+03 1.349828893439848265e+01
9.901500000000000000e+03 1.445277945594160585e+01
1.010150000000000000e+04 1.676877357928679046e+01
1.030150000000000000e+04 1.665109659137497999e+01
1.050150000000000000e+04 1.534657491027335041e+01
1.070150000000000000e+04 1.704720205576574088e+01
1.090150000000000000e+04 1.686243876606465619e+01
1.110150000000000000e+04 1.853043181861950472e+01
1.130150000000000000e+04 2.092411037634455795e+01
1.150150000000000000e+04 1.673391673927756074e+01
1.170150000000000000e+04 2.098585056460577292e+01
1.190150000000000000e+04 2.136039694449825532e+01
1.210150000000000000e+04 2.031831776249813259e+01
1.230150000000000000e+04 2.475207652105174816e+01
1.250150000000000000e+04 2.200840184737860028e+01
1.270150000000000000e+04 1.862724934171264835e+01
1.290150000000000000e+04 2.633242843654613807e+01
1.310150000000000000e+04 2.428473380946216764e+01
1.330150000000000000e+04 2.491785053107254555e+01
1.350150000000000000e+04 2.448417105021476203e+01
1.370150000000000000e+04 2.661324987524108465e+01
1.390150000000000000e+04 2.793732789235446390e+01
1.410150000000000000e+04 2.897833278592835882e+01
1.430150000000000000e+04 2.848351206633240551e+01
1.450150000000000000e+04 3.510437879703846420e+01
1.470150000000000000e+04 2.504937523249790132e+01
1.490150000000000000e+04 3.165166589813270548e+01
1.510150000000000000e+04 3.165640404880245029e+01
1.530150000000000000e+04 2.969986616394856327e+01
1.550150000000000000e+04 3.503074455090778372e+01
1.570150000000000000e+04 3.465125044062408222e+01
1.590150000000000000e+04 3.803534708598657943e+01
1.610150000000000000e+04 3.558215577545056618e+01
1.630150000000000000e+04 4.133260430984346101e+01
1.650150000000000000e+04 3.919870765931100465e+01
1.670150000000000000e+04 3.853816041443119644e+01
1.690150000000000000e+04 4.270713803119055285e+01
1.710150000000000000e+04 4.388829540704399790e+01
1.730150000000000000e+04 4.434232381004695611e+01
1.750150000000000000e+04 4.447445146674074579e+01
1.770150000000000000e+04 5.179646230568182830e+01
1.790150000000000000e+04 4.676451069226537527e+01
1.810150000000000000e+04 4.601960822871450318e+01
1.830150000000000000e+04 4.308778144306053548e+01
1.850150000000000000e+04 5.038832888448911973e+01
1.870150000000000000e+04 5.913836653361215667e+01
1.890150000000000000e+04 4.452985808577659554e+01
1.910150000000000000e+04 4.803732534193966330e+01
1.930150000000000000e+04 5.658787124649936118e+01
1.950150000000000000e+04 6.313196632179425904e+01
1.970150000000000000e+04 5.991884817732719881e+01
1.990150000000000000e+04 5.643675498689233905e+01
2.010150000000000000e+04 6.810039291946118567e+01
2.030150000000000000e+04 6.008440084235499512e+01
2.050150000000000000e+04 6.308236033699334655e+01
2.070150000000000000e+04 7.852384694970407963e+01
