# ells, tt
1.015000000000000000e+02 2.013415665052689540e+00
3.015000000000000000e+02 -1.609799505474147630e-01
5.015000000000000000e+02 1.481847715429784884e+00
7.015000000000000000e+02 3.965570173984906965e-01
9.015000000000000000e+02 7.300347417996941868e-01
1.101500000000000000e+03 1.049784039523323553e+00
1.301500000000000000e+03 1.345623439586700831e+00
1.501500000000000000e+03 2.093102888255257366e+00
1.701500000000000000e+03 2.124322972111883256e+00
1.901500000000000000e+03 1.828759489500381807e+00
2.101500000000000000e+03 2.647897637263672443e+00
2.301500000000000000e+03 2.845311023738717360e+00
2.501500000000000000e+03 3.362944019645601301e+00
2.701500000000000000e+03 2.636776142245256693e+00
2.901500000000000000e+03 3.163974561501647464e+00
3.101500000000000000e+03 3.325768611318470569e+00
3.301500000000000000e+03 3.671311257386305371e+00
3.501500000000000000e+03 4.827024410790487607e+00
3.701500000000000000e+03 4.029778447146311393e+00
3.901500000000000000e+03 4.199490819144209297e+00
4.101500000000000000e+03 3.557939570830834786e+00
4.301500000000000000e+03 3.771400885159903904e+00
4.501500000000000000e+03 4.354744424590307972e+00
4.701500000000000000e+03 3.603578992310098705e+00
4.901500000000000000e+03 4.148622252319051462e+00
5.101500000000000000e+03 3.641663186266309360e+00
5.301500000000000000e+03 3.542812059872344932e+00
5.501500000000000000e+03 5.189541564814550867e+00
5.701500000000000000e+03 4.741918136850650889e+00
5.901500000000000000e+03 3.558347009252948112e+00
6.101500000000000000e+03 4.416657306165522101e+00
6.301500000000000000e+03 4.430192717125496671e+00
6.501500000000000000e+03 4.364350361132961709e+00
6.701500000000000000e+03 4.154576708332143653e+00
6.901500000000000000e+03 4.657892751836324230e+00
7.101500000000000000e+03 4.213651602322793011e+00
7.301500000000000000e+03 4.031451415896263768e+00
7.501500000000000000e+03 3.880281725669043613e+00
7.701500000000000000e+03 3.965789522011497148e+00
7.901500000000000000e+03 3.823033725946145100e+00
8.101500000000000000e+03 4.032204430395878170e+00
8.301500000000000000e+03 4.366155994191212919e+00
8.501500000000000000e+03 3.047489193060770152e+00
8.701500000000000000e+03 4.481083060773426219e+00
8.901500000000000000e+03 3.017218789190593942e+00
9.101500000000000000e+03 3.959776366175084661e+00
9.301500000000000000e+03 3.570455382832416369e+00
9.501500000000000000e+03 3.648058668610840716e+00
9.701500000000000000e+03 4.146080568123071686e+00
9.901500000000000000e+03 3.350747401067397657e+00
1.010150000000000000e+04 3.658686316118161752e+00
1.030150000000000000e+04 4.011119776257483061e+00
1.050150000000000000e+04 3.112620166151991441e+00
1.070150000000000000e+04 3.375504462396791361e+00
1.090150000000000000e+04 3.040266766257718967e+00
1.110150000000000000e+04 3.379030982119933135e+00
1.130150000000000000e+04 2.938637621660930677e+00
1.150150000000000000e+04 3.582807362396098760e+00
1.170150000000000000e+04 2.847629280653336536e+00
1.190150000000000000e+04 3.137251004793906617e+00
1.210150000000000000e+04 2.976298869738886133e+00
1.230150000000000000e+04 3.388033992455685262e+00
1.250150000000000000e+04 3.099793070888174462e+00
1.270150000000000000e+04 3.185028513678013873e+00
1.290150000000000000e+04 2.883207642775657220e+00
1.310150000000000000e+04 3.395536507416217376e+00
1.330150000000000000e+04 2.322716832107395657e+00
1.350150000000000000e+04 2.719860663526342925e+00
1.370150000000000000e+04 2.734382158817703079e+00
1.390150000000000000e+04 2.895870705631466979e+00
1.410150000000000000e+04 2.912450972720082909e+00
1.430150000000000000e+04 2.706951232464565926e+00
1.450150000000000000e+04 2.763535431943480170e+00
1.470150000000000000e+04 2.252403237927021351e+00
1.490150000000000000e+04 2.535979724782484901e+00
1.510150000000000000e+04 2.402565835853125886e+00
1.530150000000000000e+04 2.642792405341762851e+00
1.550150000000000000e+04 2.514316097378023862e+00
1.570150000000000000e+04 2.605825454793352591e+00
1.590150000000000000e+04 2.243116674306732339e+00
1.610150000000000000e+04 2.507922962481409002e+00
1.630150000000000000e+04 2.392088661422194562e+00
1.650150000000000000e+04 2.081477172724480962e+00
1.670150000000000000e+04 2.324290618588961355e+00
1.690150000000000000e+04 2.183027192813913331e+00
1.710150000000000000e+04 2.149718858062210192e+00
1.730150000000000000e+04 2.432319856896624888e+00
1.750150000000000000e+04 2.202272603288323083e+00
1.770150000000000000e+04 2.358911394466856049e+00
1.790150000000000000e+04 1.973246632047848337e+00
1.810150000000000000e+04 2.054175750475167206e+00
1.830150000000000000e+04 2.548737443722876250e+00
1.850150000000000000e+04 2.074089957103394166e+00
1.870150000000000000e+04 2.150042386678480355e+00
1.890150000000000000e+04 2.055994299056977059e+00
1.910150000000000000e+04 2.276369932504546778e+00
1.930150000000000000e+04 2.099149551566541039e+00
1.950150000000000000e+04 2.482214496100231038e+00
1.970150000000000000e+04 2.251904077071483545e+00
1.990150000000000000e+04 2.088315030089797020e+00
2.010150000000000000e+04 2.026530956713517018e+00
2.030150000000000000e+04 2.121662458352166603e+00
2.050150000000000000e+04 1.917540496708309394e+00
2.070150000000000000e+04 2.497335735604964135e+00
