# ells, tt
1.015000000000000000e+02 5.567579724640651234e-02
3.015000000000000000e+02 9.628626635257351296e-01
5.015000000000000000e+02 1.107060483943658191e+00
7.015000000000000000e+02 1.680491039950638310e+00
9.015000000000000000e+02 4.782203378561982632e+00
1.101500000000000000e+03 8.656387058094358267e+00
1.301500000000000000e+03 1.249448944475422074e+01
1.501500000000000000e+03 1.639021717390492938e+01
1.701500000000000000e+03 1.491779110316859658e+01
1.901500000000000000e+03 1.601334101192688664e+01
2.101500000000000000e+03 2.903550190286097177e+01
2.301500000000000000e+03 3.807952336107113211e+01
2.501500000000000000e+03 4.793846729762875469e+01
2.701500000000000000e+03 4.841365980070538910e+01
2.901500000000000000e+03 4.147596970362140212e+01
3.101500000000000000e+03 5.160962371867900345e+01
3.301500000000000000e+03 7.499747574600888811e+01
3.501500000000000000e+03 9.156081214887822739e+01
3.701500000000000000e+03 8.450402559121872059e+01
3.901500000000000000e+03 9.064760670051208535e+01
4.101500000000000000e+03 9.311361882712813554e+01
4.301500000000000000e+03 1.014497989162810256e+02
4.501500000000000000e+03 1.439522632578625121e+02
4.701500000000000000e+03 1.674343168536187250e+02
4.901500000000000000e+03 1.515977862989342100e+02
5.101500000000000000e+03 1.445797368082738217e+02
5.301500000000000000e+03 1.553597301069532364e+02
5.501500000000000000e+03 1.870422972417228493e+02
5.701500000000000000e+03 2.302057504613381695e+02
5.901500000000000000e+03 2.442097057769255457e+02
6.101500000000000000e+03 2.161382754033614333e+02
6.301500000000000000e+03 2.077027276580465696e+02
6.501500000000000000e+03 2.540607893380462770e+02
6.701500000000000000e+03 2.896347106314276516e+02
6.901500000000000000e+03 3.343980178411001134e+02
7.101500000000000000e+03 3.405912036250973642e+02
7.301500000000000000e+03 3.234894949208227217e+02
7.501500000000000000e+03 2.969874035383569435e+02
7.701500000000000000e+03 3.481067644502477947e+02
7.901500000000000000e+03 4.286557181639866485e+02
8.101500000000000000e+03 4.576649567524277700e+02
8.301500000000000000e+03 4.333423883578046230e+02
8.501500000000000000e+03 3.844647837899926230e+02
8.701500000000000000e+03 4.338537962921885196e+02
8.901500000000000000e+03 5.110073343448150354e+02
9.101500000000000000e+03 5.596751663094942160e+02
9.301500000000000000e+03 5.713566702782409266e+02
9.501500000000000000e+03 5.609098176613410942e+02
9.701500000000000000e+03 5.315763172886082657e+02
9.901500000000000000e+03 5.557034511744732299e+02
1.010150000000000000e+04 6.579023420767362040e+02
1.030150000000000000e+04 7.411699150539952825e+02
1.050150000000000000e+04 6.856456210390937258e+02
1.070150000000000000e+04 6.726126390382630689e+02
1.090150000000000000e+04 6.511591492633273219e+02
1.110150000000000000e+04 7.557298367118171427e+02
1.130150000000000000e+04 8.877836508710438466e+02
1.150150000000000000e+04 8.708539380528056881e+02
1.170150000000000000e+04 8.445276205243312688e+02
1.190150000000000000e+04 8.053991748687240033e+02
1.210150000000000000e+04 8.503055065805988306e+02
1.230150000000000000e+04 9.397347921803097961e+02
1.250150000000000000e+04 1.059894033852202256e+03
1.270150000000000000e+04 1.080224987109832682e+03
1.290150000000000000e+04 9.618449113487315572e+02
1.310150000000000000e+04 9.695552331228714138e+02
1.330150000000000000e+04 1.042290001318511486e+03
1.350150000000000000e+04 1.194647473299621652e+03
1.370150000000000000e+04 1.321163110810154194e+03
1.390150000000000000e+04 1.198690342507944479e+03
1.410150000000000000e+04 1.135810144749151732e+03
1.430150000000000000e+04 1.188868082221178156e+03
1.450150000000000000e+04 1.308610047727335314e+03
1.470150000000000000e+04 1.409819385784762517e+03
1.490150000000000000e+04 1.443376624098747243e+03
1.510150000000000000e+04 1.473668051970664237e+03
1.530150000000000000e+04 1.318548823790465121e+03
1.550150000000000000e+04 1.378547198402396134e+03
1.570150000000000000e+04 1.621948001436145660e+03
1.590150000000000000e+04 1.723116318458908154e+03
1.610150000000000000e+04 1.664639152577792629e+03
1.630150000000000000e+04 1.595973045849860910e+03
1.650150000000000000e+04 1.539141409458723274e+03
1.670150000000000000e+04 1.710196562326308822e+03
1.690150000000000000e+04 1.880310946465877123e+03
1.710150000000000000e+04 1.926444594710864067e+03
1.730150000000000000e+04 1.839840237054611407e+03
1.750150000000000000e+04 1.863788068191756793e+03
1.770150000000000000e+04 1.844332232982844289e+03
1.790150000000000000e+04 1.957010502338073366e+03
1.810150000000000000e+04 2.246774753640577728e+03
1.830150000000000000e+04 2.271048314428542653e+03
1.850150000000000000e+04 2.023101620905739537e+03
1.870150000000000000e+04 2.006731863136733864e+03
1.890150000000000000e+04 2.188410405357424224e+03
1.910150000000000000e+04 2.317085261457383240e+03
1.930150000000000000e+04 2.518927614086723224e+03
1.950150000000000000e+04 2.436197391001394408e+03
1.970150000000000000e+04 2.304958273777800969e+03
1.990150000000000000e+04 2.334001881143630271e+03
2.010150000000000000e+04 2.514958524964280514e+03
2.030150000000000000e+04 2.745262165207127055e+03
2.050150000000000000e+04 2.726756391870611878e+03
2.070150000000000000e+04 3.438472030889185135e+03
