# ells, tt, ee, bb, te
1.015000000000000000e+02 9.551122922662055998e+02 -4.061107260231514360e+00 3.582466890546996297e+00 1.992715232197017983e+01
3.015000000000000000e+02 4.113911715399306559e+03 1.213651681613377775e+01 1.197872088338553409e+00 -6.936819419908976769e+00
5.015000000000000000e+02 2.513728338702919700e+03 1.731651957361341587e+01 3.511270251961224886e-01 3.702204577704019783e+01
7.015000000000000000e+02 9.600431722148255176e+02 3.516965214097160697e+01 4.501153031939368887e-01 -5.456215344482433238e+01
9.015000000000000000e+02 1.800102434398379046e+03 1.212340823359399522e+01 6.228470091235394079e-01 4.870851181002561248e+01
1.101500000000000000e+03 9.891194323328013525e+02 2.408902332438948690e+01 5.630997944485369722e-01 5.963234334060811825e+00
1.301500000000000000e+03 5.424898852279114863e+02 2.535983169643843738e+01 3.944503714174152353e-01 -3.478183248557496654e+01
1.501500000000000000e+03 4.049146429134297023e+02 1.496777020499582633e+01 3.360599607067438210e-02 3.832050031443360538e+00
1.701500000000000000e+03 3.080733498666507444e+02 9.706159045624801252e+00 -2.326616130466618859e-02 5.691010306928490081e-01
1.901500000000000000e+03 3.566466970739836597e+02 8.797162098814425235e+00 1.030506973500402990e-01 -1.692272617698175097e+01
2.101500000000000000e+03 2.077713601523858813e+02 4.863128851954456877e+00 1.144510916328334016e-03 -1.151518225710231391e+01
2.301500000000000000e+03 1.144013536093792993e+02 4.791548181721614341e+00 -3.167437640386458475e-02 -5.771933144463491594e+00
2.501500000000000000e+03 5.414640945201583122e+01 1.847124021151868689e+00 3.910154066393096983e-02 1.519681561950076976e+00
2.701500000000000000e+03 6.779877126032877754e+01 2.624981566862536475e+00 9.939613133416194679e-03 -6.493539737287548519e+00
2.901500000000000000e+03 3.359342653061132467e+01 5.954207629852041883e-01 9.242189707180367697e-03 9.760080989471431323e-02
3.101500000000000000e+03 2.234886673583752170e+01 9.348768316521327559e-01 1.673128201317398284e-02 -2.888144550099237762e+00
3.301500000000000000e+03 1.263489310075646443e+01 5.838348775869728335e-01 1.037384893733920427e-02 -3.709326598755569027e-01
3.501500000000000000e+03 9.690068401715391744e+00 3.037195901413478061e-01 8.100394177440024823e-03 -2.056181480806877904e-01
3.701500000000000000e+03 6.764666252160407289e+00 1.684089264138135811e-01 5.365265078818362565e-03 -3.562469854359786026e-01
3.901500000000000000e+03 3.648018910619068578e+00 1.465961392996771029e-01 6.208547217061757481e-03 -1.993926774497813137e-01
4.101500000000000000e+03 2.891234353143132374e+00 8.194521122257476808e-02 5.514732585370777512e-03 -1.394401160727016531e-01
4.301500000000000000e+03 1.343851395764454004e+00 4.758351128422790011e-02 5.840761779955162825e-03 -6.666867864650354025e-02
4.501500000000000000e+03 1.488495442633202437e+00 4.871267272588082620e-02 5.198671987677134718e-03 1.135071706281168963e-02
4.701500000000000000e+03 9.276826581826369544e-01 1.962060442566975274e-02 5.293841284764792127e-03 4.661332025434851076e-03
4.901500000000000000e+03 5.784907529006886318e-01 1.820506756767017315e-02 4.104729461801709389e-03 -2.050227478242115653e-02
5.101500000000000000e+03 7.810251743934895075e-01 1.014678881081707701e-02 2.984168801117813730e-03 -1.997785708153345524e-02
5.301500000000000000e+03 4.663470875362215606e-01 1.179733416262394516e-02 3.693123890320707328e-03 -2.895545734420492540e-03
5.501500000000000000e+03 3.764759625059820314e-01 9.406940883487188709e-03 3.921156207133911012e-03 -4.163864442911090376e-03
5.701500000000000000e+03 3.667248419887443323e-01 6.211137542216834187e-03 2.978074284502483897e-03 -6.340072029553061803e-03
5.901500000000000000e+03 4.119789072530085638e-01 4.804965683306969618e-03 3.756964225068891265e-03 -1.211180843167872223e-02
6.101500000000000000e+03 3.728071239509438417e-01 5.054389006431147559e-03 2.026588524376765274e-03 -3.344140811737331652e-03
6.301500000000000000e+03 2.283756520337232310e-01 3.866005949690345077e-03 3.408309424756623962e-03 2.661344597187373286e-03
6.501500000000000000e+03 2.942454412874769831e-01 3.738423238893897119e-03 2.300148089745603433e-03 -2.490646480999181896e-03
6.701500000000000000e+03 2.668804492122793803e-01 4.401934059662625243e-03 2.208739173647827816e-03 -9.397951155099056736e-03
6.901500000000000000e+03 2.585744335022312490e-01 3.384354782155304074e-03 2.647909320435779847e-03 2.092236250265961956e-03
7.101500000000000000e+03 2.392236752207148598e-01 2.886983348080528894e-03 2.742474529711251812e-03 5.193225807886514512e-04
7.301500000000000000e+03 2.269460868826642663e-01 2.571617186512560604e-03 2.284474651578738760e-03 -3.657637758500706729e-04
7.501500000000000000e+03 2.295359119513623314e-01 2.388045757336568556e-03 1.752384447528846072e-03 -6.621316319878681189e-04
7.701500000000000000e+03 1.844091674714315454e-01 2.830573580495687400e-03 1.864891629166310228e-03 -2.682896976998897301e-03
7.901500000000000000e+03 2.109224877906069051e-01 2.578011235800029520e-03 1.706010748433578559e-03 -1.176775629694346709e-03
8.101500000000000000e+03 1.692900044693952943e-01 2.405412338262409837e-03 1.722580657877825381e-03 -1.175883913803562946e-03
8.301500000000000000e+03 1.822872941006156711e-01 2.118525405096977673e-03 2.286404003002659446e-03 -2.537013021909768993e-03
8.501500000000000000e+03 2.041083072789218189e-01 2.100033383092075705e-03 1.676281987027646849e-03 4.512988937032766813e-04
8.701500000000000000e+03 1.644891889971379917e-01 1.740239684904859585e-03 1.697550033051011724e-03 1.407763449171494025e-04
8.901500000000000000e+03 1.820458101498553527e-01 1.983386105231228422e-03 1.544034926734810537e-03 1.521132067831561620e-04
9.101500000000000000e+03 1.706522297183408199e-01 1.808586158200061172e-03 1.907645086319935922e-03 7.761978496158664391e-04
9.301500000000000000e+03 1.574710247007207464e-01 2.039620027824744046e-03 1.316575329360660657e-03 -2.734987348514484988e-03
9.501500000000000000e+03 1.535538372945032259e-01 1.676704686562367069e-03 1.518930592641453206e-03 2.547072319548930770e-04
9.701500000000000000e+03 1.742413819722760382e-01 1.569760327743800320e-03 1.345728855924089012e-03 -2.805820704427244936e-03
9.901500000000000000e+03 1.223787088989098937e-01 1.408087564184477922e-03 1.254717580447278812e-03 2.915044190742846529e-04
1.010150000000000000e+04 1.377514006063449425e-01 2.168966892173837882e-03 1.223462209214960274e-03 -1.716153304489141250e-04
1.030150000000000000e+04 1.042392646895305419e-01 1.374142748043681974e-03 1.261721565344963054e-03 1.423187645999081830e-04
1.050150000000000000e+04 1.277202373268974955e-01 1.666622418059367054e-03 1.299937191874854688e-03 -1.760916200714870029e-03
1.070150000000000000e+04 1.093875667431055965e-01 1.364573381064514580e-03 1.033641053138544420e-03 -7.544787267604003908e-04
1.090150000000000000e+04 1.482423487885782820e-01 1.342038674868273286e-03 1.210886207741917412e-03 -1.499641046866475452e-03
1.110150000000000000e+04 1.209590428327819434e-01 1.413982780563442267e-03 1.281337614639547389e-03 -7.502004185988559023e-04
1.130150000000000000e+04 1.171263304205287792e-01 1.097842365324433814e-03 9.145033703222224270e-04 -6.838746603160953189e-04
1.150150000000000000e+04 1.088461057644539709e-01 1.344118807135334312e-03 1.168257738339691489e-03 -1.209071615363744266e-03
1.170150000000000000e+04 9.905267370846371211e-02 1.079778718214332396e-03 9.661719444719960980e-04 -1.226810922983941066e-04
1.190150000000000000e+04 9.144253089213719154e-02 1.271128788199794987e-03 9.826231080420557307e-04 -5.593231617203372336e-05
1.210150000000000000e+04 1.206439369395835015e-01 1.296907261027989726e-03 9.575701823697658089e-04 -1.266608799200732082e-03
1.230150000000000000e+04 1.104949344545015644e-01 1.082999336474591750e-03 1.163261490239049945e-03 -3.309494206217304581e-04
1.250150000000000000e+04 9.400385028083871330e-02 1.066700236944030222e-03 1.034747066206073967e-03 -5.101151995648417611e-04
1.270150000000000000e+04 9.092479849265172609e-02 1.085756705546332516e-03 1.057549781814190286e-03 6.396644243549486075e-04
1.290150000000000000e+04 8.687508422760747973e-02 1.043556086231042226e-03 9.619288587739954072e-04 -8.848469493115241431e-04
1.310150000000000000e+04 9.119154962764469685e-02 1.147573390240055153e-03 1.000099323844241090e-03 -7.927683745739884814e-04
1.330150000000000000e+04 9.267053695706198302e-02 9.873901394123153416e-04 8.647692836513454001e-04 -2.334447544604783490e-03
1.350150000000000000e+04 8.173355489540709562e-02 1.046001698737123245e-03 7.772078487079536616e-04 -1.004125259779388565e-04
1.370150000000000000e+04 8.355203102116444402e-02 7.952317482671335605e-04 7.904538758967218949e-04 3.743514074743329559e-04
1.390150000000000000e+04 8.857539618758704381e-02 8.985393895803230361e-04 8.160464147751333606e-04 -8.694138440206186733e-04
1.410150000000000000e+04 7.312101601220268032e-02 8.689155302781088018e-04 8.070037165834752137e-04 -1.305332521105258964e-03
1.430150000000000000e+04 7.178974024706864798e-02 1.003387834721253388e-03 7.774171691621262290e-04 -6.230334584789213280e-04
1.450150000000000000e+04 8.327301971516176682e-02 8.307778462396117961e-04 7.420494750652783991e-04 -1.073475434857175392e-03
1.470150000000000000e+04 6.825947161130294094e-02 1.017142544429406898e-03 6.813115515626225974e-04 -9.809710970102049604e-04
1.490150000000000000e+04 7.568969357154860245e-02 6.834325706220730151e-04 8.363739260994899113e-04 -3.680959484480182892e-04
1.510150000000000000e+04 6.464691252526458265e-02 7.236759628751266490e-04 6.136672710767051685e-04 -7.375782323396319271e-04
1.530150000000000000e+04 7.772771624663729617e-02 7.590663641271516889e-04 8.264236885362565054e-04 -1.122332439887261139e-03
1.550150000000000000e+04 7.201685209491215378e-02 6.423793497469063463e-04 7.490847341865420868e-04 -4.436650775129708565e-04
1.570150000000000000e+04 8.091748038384530273e-02 6.482776403523908505e-04 5.960086654300856841e-04 -6.494055352279045658e-04
1.590150000000000000e+04 6.842125383017493012e-02 6.817968518566866736e-04 6.592907175478253954e-04 -4.510093388079116760e-04
1.610150000000000000e+04 5.696061266433833509e-02 6.534101889249323324e-04 6.309039956029901738e-04 -3.660354643889671827e-04
1.630150000000000000e+04 6.996087316270216405e-02 7.219875711517362554e-04 5.890488453220447864e-04 -6.794965561774590421e-04
1.650150000000000000e+04 5.768333136482092782e-02 6.473461034761683131e-04 6.069399564487287270e-04 -7.408560592805895750e-04
1.670150000000000000e+04 5.603581450264123742e-02 7.551637234252549149e-04 6.336971565716866201e-04 2.887403313532308814e-04
1.690150000000000000e+04 5.955976409823724588e-02 6.092232238705165169e-04 6.032855786969786374e-04 -9.612734396596649133e-04
1.710150000000000000e+04 5.188212378776380779e-02 5.970063292814885465e-04 6.074680782778292109e-04 1.867879561807797356e-04
1.730150000000000000e+04 5.744038879364437439e-02 5.832603759112425052e-04 5.109536371488834295e-04 -7.645762385924863638e-04
1.750150000000000000e+04 4.991799365988636161e-02 6.323315159855512433e-04 6.852112672600201276e-04 -2.037929729279516398e-04
1.770150000000000000e+04 5.519369350702400812e-02 6.312250045311850128e-04 5.476763832267246383e-04 -6.441119543529105545e-05
1.790150000000000000e+04 5.076811244223682074e-02 5.715780154090170477e-04 6.047049689379324546e-04 -6.527819247544954830e-04
1.810150000000000000e+04 6.069017351579090308e-02 6.223457979262307909e-04 5.182810449215239593e-04 -3.027262694301526827e-04
1.830150000000000000e+04 4.774364382294575548e-02 5.350757965557392110e-04 6.393312679731413253e-04 -3.237454157322285477e-04
1.850150000000000000e+04 5.894632482887043889e-02 6.252237809388507504e-04 5.001921705714878130e-04 -5.553848924900485744e-04
1.870150000000000000e+04 4.920946564581481913e-02 5.560581207077668151e-04 5.031457208613186434e-04 -5.802166106749328655e-04
1.890150000000000000e+04 5.252815020969743565e-02 5.176364601474055596e-04 5.390011270543998770e-04 -4.096445359793078351e-04
1.910150000000000000e+04 5.080673401698794500e-02 5.121663908921071911e-04 5.705127298016095683e-04 -2.891938259870993361e-04
