# ells, tt
1.015000000000000000e+02 5.452367501608407219e-03
3.015000000000000000e+02 6.033591339571903189e-03
5.015000000000000000e+02 1.130471587137328093e+00
7.015000000000000000e+02 6.230008977879164522e-01
9.015000000000000000e+02 1.875958550196487051e+00
1.101500000000000000e+03 1.393820806517090061e+00
1.301500000000000000e+03 2.716300156178586889e+00
1.501500000000000000e+03 7.303941667191029552e-01
1.701500000000000000e+03 1.804798304672103004e+00
1.901500000000000000e+03 1.877610197512163070e+00
2.101500000000000000e+03 1.594703664595079395e+00
2.301500000000000000e+03 2.291980509691986967e+00
2.501500000000000000e+03 2.089185852966484180e+00
2.701500000000000000e+03 2.258873885259494063e+00
2.901500000000000000e+03 2.150835921787191296e+00
3.101500000000000000e+03 2.564445655354964160e+00
3.301500000000000000e+03 1.987318904943044195e+00
3.501500000000000000e+03 3.194712250653365171e+00
3.701500000000000000e+03 2.045357180019489185e+00
3.901500000000000000e+03 2.357282224152299044e+00
4.101500000000000000e+03 2.201275424735601227e+00
4.301500000000000000e+03 2.698862935988074252e+00
4.501500000000000000e+03 2.106292063627814848e+00
4.701500000000000000e+03 2.346356802254185414e+00
4.901500000000000000e+03 2.900154280151896913e+00
5.101500000000000000e+03 2.672532246851786919e+00
5.301500000000000000e+03 1.685863725908910205e+00
5.501500000000000000e+03 2.460134336385527032e+00
5.701500000000000000e+03 1.936145195674048303e+00
5.901500000000000000e+03 2.143951873228593374e+00
6.101500000000000000e+03 2.360784198534545464e+00
6.301500000000000000e+03 2.042942581349103115e+00
6.501500000000000000e+03 2.127671044936718214e+00
6.701500000000000000e+03 2.371698077351019673e+00
6.901500000000000000e+03 2.019014518686713888e+00
7.101500000000000000e+03 2.137423717467963780e+00
7.301500000000000000e+03 1.906698709521143620e+00
7.501500000000000000e+03 2.313752805888620312e+00
7.701500000000000000e+03 2.436990905922816530e+00
7.901500000000000000e+03 2.273207683166020399e+00
8.101500000000000000e+03 2.779838087338140085e+00
8.301500000000000000e+03 2.403809625168388475e+00
8.501500000000000000e+03 2.806819472197283893e+00
8.701500000000000000e+03 2.550251271352869331e+00
8.901500000000000000e+03 2.322113532775480493e+00
9.101500000000000000e+03 2.346925674028447872e+00
9.301500000000000000e+03 2.231353903460464139e+00
9.501500000000000000e+03 2.427876740285580759e+00
9.701500000000000000e+03 1.926025234490915228e+00
9.901500000000000000e+03 2.982602767345736261e+00
1.010150000000000000e+04 2.295550401175592725e+00
1.030150000000000000e+04 2.449861204868816422e+00
1.050150000000000000e+04 2.389159646307477569e+00
1.070150000000000000e+04 2.728707930464276732e+00
1.090150000000000000e+04 2.391268006964982540e+00
1.110150000000000000e+04 2.248057450887228192e+00
1.130150000000000000e+04 2.409051441135649174e+00
1.150150000000000000e+04 2.923801849410547327e+00
1.170150000000000000e+04 2.144639835674822415e+00
1.190150000000000000e+04 2.908259335789756594e+00
1.210150000000000000e+04 2.734024371376743368e+00
1.230150000000000000e+04 2.082889074174109290e+00
1.250150000000000000e+04 2.148342640657216585e+00
1.270150000000000000e+04 2.699227215186799977e+00
1.290150000000000000e+04 2.438145036229508733e+00
1.310150000000000000e+04 2.946860022648031929e+00
1.330150000000000000e+04 1.863130731840218601e+00
1.350150000000000000e+04 2.522006603992191121e+00
1.370150000000000000e+04 2.371109592364121887e+00
1.390150000000000000e+04 2.471600754387351717e+00
1.410150000000000000e+04 2.493923436551351180e+00
1.430150000000000000e+04 2.017192801628537424e+00
1.450150000000000000e+04 2.254084522106966748e+00
1.470150000000000000e+04 2.061261916451058163e+00
1.490150000000000000e+04 2.167123806740824943e+00
1.510150000000000000e+04 1.930011652887738460e+00
1.530150000000000000e+04 2.153965907662563684e+00
1.550150000000000000e+04 2.412137339784976131e+00
1.570150000000000000e+04 2.177607922921855010e+00
1.590150000000000000e+04 2.577936266910082708e+00
1.610150000000000000e+04 2.310222694981487912e+00
1.630150000000000000e+04 2.195189544061686426e+00
1.650150000000000000e+04 1.989014334293154995e+00
1.670150000000000000e+04 2.327324843180488045e+00
1.690150000000000000e+04 1.993084922040728291e+00
1.710150000000000000e+04 2.811524429927871438e+00
1.730150000000000000e+04 2.148492726146053577e+00
1.750150000000000000e+04 2.300947531308128458e+00
1.770150000000000000e+04 2.133220311760226195e+00
1.790150000000000000e+04 2.172090140707097827e+00
1.810150000000000000e+04 2.062277312558149500e+00
1.830150000000000000e+04 2.009943300818990419e+00
1.850150000000000000e+04 2.400967690700355206e+00
1.870150000000000000e+04 2.155411462270720335e+00
1.890150000000000000e+04 1.878100600558985311e+00
1.910150000000000000e+04 2.350014169213708648e+00
1.930150000000000000e+04 2.295957867257600871e+00
1.950150000000000000e+04 2.017203836055821320e+00
1.970150000000000000e+04 2.210188590409948528e+00
1.990150000000000000e+04 2.129308229781365469e+00
2.010150000000000000e+04 2.277750292621698591e+00
2.030150000000000000e+04 2.403434352035589860e+00
2.050150000000000000e+04 2.022188908446036937e+00
2.070150000000000000e+04 2.740478193064724177e+00
