,redshift,ra_deg,dec_deg,x_mpc,y_mpc,z_mpc,vx_kms,vy_kms,vz_kms,Mfof,Mvir,Mgas_vir,Rvir,TSZ_Rvir,KSZ_Rvir,SZ_148_Rvir,SZ_219_Rvir,SZ_277_Rvir,SZ_30_Rvir,SZ_90_Rvir,SZ_350_Rvir,Mvir_R200,Mgas_vir_R200,R200,TSZ_R200,KSZ_R200,SZ_148_R200,SZ_219_R200,SZ_277_R200,SZ_30_R200,SZ_90_R200,SZ_350_R200,Mvir_R500,Mgas_vir_R500,R500,TSZ_R500,KSZ_R500,SZ_148_R500,SZ_219_R500,SZ_277_R500,SZ_30_R500,SZ_90_R500,SZ_350_R500,Mstar,rho_gas_central,T_central,P_central,phi_central
0,0.1035,5.6270623,6.9338384,423.04782,41.68195,51.697052,69.19014,-105.291115,-40.58457,74296170000000.0,62762487000000.0,5910124000000.0,0.9794198,6.345106e-05,-7.634078e-06,-6.934036e-05,-6.556736e-06,5.1549567e-05,-0.0001312361,-0.000108529784,0.0001292985,44981380000000.0,3788892500000.0,0.7065329,4.8384627e-05,-5.480234e-06,-5.2518837e-05,-4.675202e-06,3.959804e-05,-9.971706e-05,-8.239712e-05,9.885869e-05,26815825000000.0,1813505000000.0,0.43805167,2.9590707e-05,-3.079991e-06,-3.1832707e-05,-2.6033774e-06,2.443891e-05,-6.0697457e-05,-5.0100076e-05,6.065552e-05,1938105600000.0,31630000000000.0,1.3570752,7303000000000.0,-1.0821302
1,0.12,5.4343076,5.207482,490.38693,46.651485,44.89506,152.7997,-377.6781,-305.67862,154743650000000.0,136481970000000.0,16071395000000.0,1.2602428,0.00020472315,-2.420659e-05,-0.00022239913,-2.1568443e-05,0.00016390519,-0.0004222272,-0.00034860353,0.00041315393,116009676000000.0,12889828000000.0,0.9634529,0.0001839789,-2.0542857e-05,-0.00019856996,-1.8256722e-05,0.00014823837,-0.00037814357,-0.00031195447,0.00037208878,84676490000000.0,8624976000000.0,0.63985896,0.00014716775,-1.4957269e-05,-0.000157242,-1.3254269e-05,0.0001196549,-0.00030087738,-0.00024789321,0.0002985061,3118613100000.0,126700000000000.0,2.5857837,55740000000000.0,-2.28987
2,0.1282,5.767204,5.964199,521.8175,52.702538,54.79294,-403.70837,-74.490814,-117.904854,30083702000000.0,26335255000000.0,1223314200000.0,0.73293287,7.483491e-06,1.0866668e-05,3.5222695e-06,1.096047e-05,1.788267e-05,-3.743618e-06,-1.0876569e-06,2.717015e-05,19895612000000.0,721996200000.0,0.5351421,5.263647e-06,7.289165e-06,2.124449e-06,7.3541673e-06,1.2220708e-05,-2.9859732e-06,-1.1176008e-06,1.8751374e-05,8361924000000.0,218037340000.0,0.2973041,2.3750147e-06,3.0730248e-06,7.433996e-07,3.1016757e-06,5.2959153e-06,-1.5623747e-06,-7.191617e-07,8.241353e-06,1166651800000.0,5403000000000.0,0.7728048,710400000000.0,-0.494604
3,0.1291,6.445193,5.981168,524.8905,59.295166,55.343582,-669.3556,-262.4337,-327.55844,29987590000000.0,22490690000000.0,1418216000000.0,0.6858886,6.1928104e-06,1.8200137e-05,1.208293e-05,1.8253266e-05,2.401343e-05,6.0784037e-06,8.270417e-06,3.176399e-05,19799497000000.0,1113848300000.0,0.5357648,5.3539293e-06,1.4793115e-05,9.506386e-06,1.4838048e-05,1.9814892e-05,4.31611e-06,6.211194e-06,2.6512744e-05,16051049000000.0,744647200000.0,0.37164524,4.1305857e-06,1.0356583e-05,6.280086e-06,1.0389939e-05,1.4225767e-05,2.2767406e-06,3.7388722e-06,1.9389712e-05,793021800000.0,48490000000000.0,0.8752799,7221000000000.0,-0.7335
4,0.1284,6.1698422,5.999755,522.33264,56.46532,55.216946,-330.42148,-317.10266,-146.4838,51901597000000.0,42290190000000.0,3762393000000.0,0.84971005,2.2787282e-05,2.4375642e-05,2.0450886e-06,2.4653336e-05,4.5675795e-05,-2.0091058e-05,-1.1991135e-05,7.389663e-05,33159354000000.0,2572374200000.0,0.6332458,1.8182362e-05,1.8336508e-05,5.2389856e-07,1.8553284e-05,3.531619e-05,-1.7138145e-05,-1.06737925e-05,5.7825084e-05,20472295000000.0,1295500600000.0,0.39809462,1.1531391e-05,1.05837835e-05,-7.0727106e-07,1.0715878e-05,2.133452e-05,-1.1907939e-05,-7.806708e-06,3.55999e-05,1369779200000.0,41140000000000.0,1.1570948,8099000000000.0,-0.931392
5,0.1582,6.403998,6.31471,638.86584,71.70542,71.14138,409.65234,-7.2240543,-148.65994,32967125000000.0,26719710000000.0,1614467600000.0,0.720301,6.458042e-06,-8.704362e-06,-1.4973661e-05,-8.550472e-06,-2.62022e-06,-2.1301901e-05,-1.898232e-05,5.2688397e-06,21048980000000.0,1039511100000.0,0.5417717,4.908195e-06,-6.295501e-06,-1.1059217e-05,-6.1794826e-06,-1.6745769e-06,-1.5868576e-05,-1.41054325e-05,4.3195355e-06,9995863000000.0,364845470000.0,0.31089985,2.4470621e-06,-2.8893787e-06,-5.2634923e-06,-2.832391e-06,-5.883408e-07,-7.66113e-06,-6.7818655e-06,2.3986267e-06,1064246050000.0,12150000000000.0,0.83399373,1724000000000.0,-0.592713
6,0.1572,6.1751084,6.107141,635.1148,68.716385,68.35084,375.26053,33.14063,-165.89471,33255466000000.0,28353650000000.0,1862801800000.0,0.7342384,6.556378e-06,-8.448589e-06,-1.481552e-05,-8.295262e-06,-2.273618e-06,-2.1237554e-05,-1.8883795e-05,5.7397438e-06,23644061000000.0,1362316400000.0,0.5616724,5.3957983e-06,-6.5303293e-06,-1.1768878e-05,-6.405364e-06,-1.4524513e-06,-1.7053877e-05,-1.5116465e-05,5.140247e-06,16435505000000.0,782956560000.0,0.36659327,3.8137748e-06,-4.1992416e-06,-7.900355e-06,-4.112335e-06,-6.148207e-07,-1.1635578e-05,-1.0265839e-05,4.0424457e-06,987841100000.0,42700000000000.0,0.9685004,7036000000000.0,-0.7875
7,0.1608,6.4440565,6.3185253,648.9517,73.29692,72.31422,194.09402,-148.97406,-22.6552,38157282000000.0,19415041000000.0,1297522900000.0,0.64423645,5.490364e-06,-3.2483658e-06,-8.590879e-06,-3.1343825e-06,1.9139507e-06,-1.3955103e-05,-1.1990209e-05,8.645538e-06,15666593000000.0,812169800000.0,0.48944262,3.9493025e-06,-2.2425795e-06,-6.0848715e-06,-2.1612605e-06,1.4686038e-06,-9.9433955e-06,-8.529817e-06,6.3096254e-06,11341460000000.0,395387960000.0,0.32686383,2.3722475e-06,-1.2680385e-06,-3.5753935e-06,-1.2198213e-06,9.591646e-07,-5.8930736e-06,-5.043784e-06,3.866007e-06,745149300000.0,18070000000000.0,0.9009972,2770000000000.0,-0.66020536
8,0.1735,6.9222126,7.119137,696.17804,84.52066,87.588165,94.68018,55.86098,5.3318624,34793290000000.0,33351580000000.0,2192933400000.0,0.77401334,6.3463335e-06,-2.3004795e-06,-8.480813e-06,-2.1751757e-06,3.6629353e-06,-1.4675136e-05,-1.2406725e-05,1.14536015e-05,27873080000000.0,1684599500000.0,0.5930236,5.4296365e-06,-1.8514984e-06,-7.138061e-06,-1.7454062e-06,3.2469968e-06,-1.2437616e-05,-1.0496517e-05,9.910539e-06,19607270000000.0,1007459570000.0,0.38871282,3.929076e-06,-1.2106376e-06,-5.0347935e-06,-1.1353341e-06,2.4741516e-06,-8.869703e-06,-7.464594e-06,7.29375e-06,1116610900000.0,31720000000000.0,0.8955409,4833000000000.0,-0.73505807
9,0.1878,6.018613,5.943568,754.28265,79.526054,78.96252,311.16443,-307.05472,312.1705,68913786000000.0,62378030000000.0,6574002000000.0,0.93599725,2.6158845e-05,-1.6892414e-05,-4.224191e-05,-1.6374746e-05,7.4985714e-06,-6.784883e-05,-5.8440462e-05,3.9381302e-05,56515070000000.0,5436659000000.0,0.75055826,2.3738572e-05,-1.4626016e-05,-3.762387e-05,-1.4162256e-05,7.4887826e-06,-6.0860737e-05,-5.232122e-05,3.641129e-05,42962986000000.0,3568195600000.0,0.5003398,1.8545921e-05,-1.03923e-05,-2.8348737e-05,-1.0040562e-05,6.850968e-06,-4.6501398e-05,-3.982689e-05,2.9428871e-05,1695434800000.0,102000000000000.0,1.63421,28360000000000.0,-1.39788
10,0.1891,6.639248,6.455363,757.52313,88.17431,86.289764,-18.15952,2.39367,205.01569,28834219000000.0,15954935000000.0,892737000000.0,0.6035998,2.628693e-06,-5.7290624e-08,-2.6222774e-06,-7.4135897e-09,2.4164035e-06,-5.1856086e-06,-4.2476763e-06,5.6522404e-06,13455969000000.0,579349640000.0,0.46429187,1.9605081e-06,-4.084389e-08,-1.9535362e-06,-3.9516235e-09,1.8030763e-06,-3.865278e-06,-3.165666e-06,4.215884e-06,9995863000000.0,287661750000.0,0.30746913,1.1777295e-06,-2.2808544e-08,-1.1715032e-06,-9.623127e-10,1.0838672e-06,-2.31992e-06,-1.8995488e-06,2.5327763e-06,626550240000.0,12570000000000.0,0.7500167,1604000000000.0,-0.5374437
11,0.1881,7.185049,5.2725654,754.8048,95.15392,70.20793,115.28282,-212.42403,293.18335,133502440000000.0,125332740000000.0,14091328000000.0,1.1774104,7.70077e-05,-1.2906255e-05,-8.7493456e-05,-1.1806423e-05,5.8102458e-05,-0.00016267342,-0.00013499838,0.00015192591,109185580000000.0,11640961000000.0,0.9250431,7.007881e-05,-1.1178391e-05,-7.903079e-05,-1.0202114e-05,5.3363194e-05,-0.00014744491,-0.00012225243,0.00013870401,80543590000000.0,7677017000000.0,0.615662,5.5721353e-05,-8.155447e-06,-6.206926e-05,-7.418087e-06,4.3040087e-05,-0.00011646492,-9.642174e-05,0.000110832414,2900199700000.0,65850000000000.0,2.0797062,23300000000000.0,-1.81071
