,index,ra_deg,dec_deg,redshift,1.4GHz_flux,30GHz_flux,90GHz_flux,148GHz_flux,219GHz_flux,277GHz_flux,350GHz_flux
0,0,7.191731,6.569081,0.04680,6.43270e+00,1.02608e+00,2.22077e+00,3.52781e+00,4.80720e+00,5.57396e+00,6.24256e+00
1,1,5.654486,6.999503,0.10350,4.34948e+00,3.74803e-01,1.55050e-01,1.04142e-01,7.61163e-02,6.30738e-02,5.23092e-02
2,2,5.631977,6.954141,0.10350,7.26542e-01,6.24130e-02,2.57470e-02,1.72925e-02,1.26389e-02,1.04732e-02,8.68581e-03
3,3,6.417338,5.981460,0.12910,3.70208e+00,3.16448e-01,1.30996e-01,8.79865e-02,6.43085e-02,5.32893e-02,4.41946e-02
4,4,6.100843,5.990556,0.12840,7.97606e-01,6.82596e-02,2.82986e-02,1.90083e-02,1.38930e-02,1.15125e-02,9.54769e-03
5,5,6.407268,6.290167,0.15820,1.14885e+00,9.75186e-02,4.04159e-02,2.71475e-02,1.98419e-02,1.64420e-02,1.36359e-02
6,6,6.176877,6.106484,0.15720,2.88535e+01,2.49540e+00,1.03067e+00,6.92149e-01,5.05877e-01,4.19195e-01,3.47652e-01
7,7,6.441519,6.318105,0.16080,1.87047e+00,1.61377e-01,6.67381e-02,4.48215e-02,3.27593e-02,2.71460e-02,2.25131e-02
8,8,6.955723,7.102366,0.17350,2.48633e+00,2.13006e-01,8.72980e-02,5.85869e-02,4.28148e-02,3.54779e-02,2.94228e-02
9,9,6.066909,5.980325,0.18780,6.45974e-01,9.72103e-02,4.77713e-02,2.97388e-02,1.90881e-02,1.43440e-02,1.07381e-02
10,10,5.976516,5.984090,0.18780,2.54654e-01,2.17254e-02,9.00877e-03,6.05128e-03,4.42284e-03,3.66499e-03,3.03950e-03
11,11,7.166151,5.218763,0.18810,6.28532e-01,5.42717e-02,2.24455e-02,1.50748e-02,1.10180e-02,9.13005e-03,7.57186e-03
12,12,6.277922,6.867154,0.18850,4.93110e-01,4.28157e-02,1.76464e-02,1.18256e-02,8.63508e-03,7.15340e-03,5.93161e-03
13,13,5.457509,5.990274,0.18770,2.63013e+00,2.46174e-01,1.02624e-01,6.70552e-02,4.78058e-02,3.91134e-02,3.21194e-02
14,14,5.508396,5.967802,0.18770,4.24765e-01,3.66216e-02,1.51647e-02,1.01857e-02,7.44465e-03,6.16901e-03,5.11617e-03
15,15,5.018505,6.222175,0.19040,2.90830e-01,2.67532e-02,1.04514e-02,6.94666e-03,5.06659e-03,4.19708e-03,3.48044e-03
16,16,4.995634,5.458479,0.19690,1.65457e-01,1.41238e-02,5.80506e-03,3.89701e-03,2.84805e-03,2.36001e-03,1.95723e-03
17,17,6.021736,5.341505,0.20910,1.77252e-01,9.88679e-02,1.60785e-01,1.62884e-01,1.43136e-01,1.23706e-01,1.01158e-01
18,18,4.956195,5.716692,0.20950,9.78887e-01,8.53597e-02,3.49976e-02,2.34690e-02,1.71481e-02,1.42092e-02,1.17840e-02
19,19,6.481424,5.214883,0.23140,8.46102e-01,7.25582e-02,3.00112e-02,2.01577e-02,1.47331e-02,1.22086e-02,1.01250e-02
20,20,6.882801,5.220797,0.23280,1.19684e+00,1.02790e-01,4.26753e-02,2.86656e-02,2.09515e-02,1.73615e-02,1.43985e-02
21,21,6.964646,5.147577,0.23280,1.34174e+00,1.49634e-01,5.47993e-02,3.37839e-02,2.36203e-02,1.92773e-02,1.58488e-02
22,22,6.918494,5.124038,0.23280,6.19050e-01,5.33697e-02,2.21304e-02,1.48636e-02,1.08635e-02,9.00206e-03,7.46571e-03
23,23,7.088557,5.877191,0.23320,1.31068e-01,1.10572e-02,4.58870e-03,3.08229e-03,2.25283e-03,1.86681e-03,1.54821e-03
24,24,6.201153,4.852257,0.23640,5.30969e-01,4.58030e-02,1.89616e-02,1.27347e-02,9.30758e-03,7.71272e-03,6.39642e-03
25,25,4.923325,5.085722,0.23630,1.94410e-01,1.65509e-02,6.85399e-03,4.60379e-03,3.36488e-03,2.78831e-03,2.31244e-03
26,26,5.097001,6.315126,0.23490,9.94500e-01,9.29543e-02,3.71809e-02,2.43004e-02,1.75299e-02,1.44661e-02,1.19707e-02
27,27,5.089317,6.324337,0.23490,6.39688e-01,6.21570e-02,3.37610e-02,2.54745e-02,1.93995e-02,1.59814e-02,1.28579e-02
28,28,5.831041,5.197574,0.23610,1.96247e+00,1.71729e-01,7.09968e-02,4.74451e-02,3.45553e-02,2.85894e-02,2.36834e-02
29,29,4.890694,6.972403,0.23520,7.16776e-01,6.07919e-02,2.51427e-02,1.68877e-02,1.23430e-02,1.02281e-02,8.48248e-03
30,30,6.390447,6.529281,0.23690,1.49627e-01,1.24490e-02,5.16139e-03,3.46697e-03,2.53398e-03,2.09979e-03,1.74142e-03
31,31,5.247724,4.876747,0.23870,4.86598e-01,4.45648e-02,1.71955e-02,1.14826e-02,8.38642e-03,6.94888e-03,5.76284e-03
32,32,5.240333,4.869617,0.23870,1.36233e-01,1.15325e-02,4.76346e-03,3.19906e-03,2.33812e-03,1.93748e-03,1.60681e-03
33,33,6.149863,5.252896,0.23680,1.69392e-01,1.41108e-02,5.58719e-03,3.74111e-03,2.73296e-03,2.26450e-03,1.87799e-03
34,34,5.481886,5.459891,0.24510,1.66269e+00,1.41649e-01,5.88157e-02,3.95073e-02,2.88757e-02,2.39278e-02,1.98442e-02
