# ell    tt_lensed   ee_lensed   bb_lensed   te_lensed   tt_unlensed ee_unlensed bb_unlensed te_unlensed kk
0 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 5.936966e-08
2 1.164038e+03 5.108381e-02 1.583307e-06 3.244832e+00 1.218975e+03 5.349319e-02 0.000000e+00 3.397980e+00 6.158844e-07
3 1.080003e+03 8.483974e-02 3.167146e-06 4.128838e+00 5.654848e+02 4.442033e-02 0.000000e+00 2.161855e+00 2.746253e-06
4 1.003648e+03 9.678766e-02 5.279753e-06 4.284016e+00 3.153020e+02 3.040508e-02 0.000000e+00 1.345863e+00 8.312964e-06
5 9.448400e+02 8.709619e-02 7.921824e-06 3.999204e+00 1.978837e+02 1.823972e-02 0.000000e+00 8.375914e-01 2.005815e-05
6 9.018964e+02 6.520222e-02 1.109421e-05 3.504345e+00 1.349202e+02 9.752570e-03 0.000000e+00 5.242489e-01 4.165942e-05
7 8.729168e+02 4.191889e-02 1.479793e-05 2.947197e+00 9.793790e+01 4.701628e-03 0.000000e+00 3.306750e-01 7.776706e-05
8 8.518482e+02 2.429405e-02 1.903414e-05 2.401724e+00 7.433465e+01 2.118395e-03 0.000000e+00 2.095904e-01 1.340006e-04
9 8.387911e+02 1.428212e-02 2.380411e-05 1.934118e+00 5.855555e+01 9.954186e-04 0.000000e+00 1.350273e-01 2.170121e-04
10 8.315747e+02 1.020896e-02 2.910927e-05 1.561990e+00 4.749633e+01 5.814717e-04 0.000000e+00 8.922121e-02 3.342927e-04
11 8.290629e+02 9.135291e-03 3.495113e-05 1.297255e+00 3.946020e+01 4.331753e-04 0.000000e+00 6.174983e-02 4.945202e-04
12 8.286079e+02 8.718286e-03 4.133131e-05 1.134359e+00 3.337062e+01 3.494803e-04 0.000000e+00 4.568911e-02 7.069923e-04
13 8.325603e+02 7.941096e-03 4.825150e-05 1.062673e+00 2.873941e+01 2.724848e-04 0.000000e+00 3.668751e-02 9.822828e-04
14 8.376179e+02 6.858603e-03 5.571346e-05 1.056790e+00 2.505841e+01 2.035422e-04 0.000000e+00 3.162006e-02 1.331597e-03
15 8.433984e+02 5.958277e-03 6.371901e-05 1.093998e+00 2.207708e+01 1.543194e-04 0.000000e+00 2.864192e-02 1.766728e-03
16 8.511068e+02 5.587859e-03 7.227000e-05 1.157322e+00 1.965750e+01 1.274102e-04 0.000000e+00 2.673535e-02 2.301016e-03
17 8.607860e+02 5.735929e-03 8.136827e-05 1.229948e+00 1.767176e+01 1.161072e-04 0.000000e+00 2.525628e-02 2.948005e-03
18 8.714468e+02 6.162923e-03 9.101571e-05 1.297122e+00 1.600714e+01 1.115530e-04 0.000000e+00 2.383214e-02 3.721765e-03
19 8.836449e+02 6.623141e-03 1.012142e-04 1.357003e+00 1.460783e+01 1.078388e-04 0.000000e+00 2.243935e-02 4.637488e-03
20 8.960263e+02 7.004030e-03 1.119654e-04 1.408101e+00 1.340157e+01 1.031059e-04 0.000000e+00 2.106702e-02 5.711326e-03
21 9.087715e+02 7.376087e-03 1.232713e-04 1.449034e+00 1.235633e+01 9.863911e-05 0.000000e+00 1.970886e-02 6.959851e-03
22 9.220250e+02 7.897306e-03 1.351335e-04 1.482836e+00 1.144621e+01 9.638697e-05 0.000000e+00 1.841512e-02 8.398564e-03
23 9.357081e+02 8.691093e-03 1.475537e-04 1.514338e+00 1.064789e+01 9.724905e-05 0.000000e+00 1.723945e-02 1.004640e-02
24 9.497109e+02 9.794767e-03 1.605334e-04 1.542607e+00 9.942481e+00 1.008913e-04 0.000000e+00 1.615668e-02 1.192158e-02
25 9.642338e+02 1.118975e-02 1.740741e-04 1.573871e+00 9.317861e+00 1.064844e-04 0.000000e+00 1.521644e-02 1.404135e-02
26 9.790387e+02 1.283874e-02 1.881772e-04 1.613057e+00 8.759970e+00 1.132302e-04 0.000000e+00 1.444039e-02 1.642530e-02
27 9.940771e+02 1.468582e-02 2.028438e-04 1.656422e+00 8.259064e+00 1.203722e-04 0.000000e+00 1.376973e-02 1.909313e-02
28 1.009496e+03 1.670543e-02 2.180751e-04 1.703385e+00 7.808610e+00 1.275811e-04 0.000000e+00 1.318387e-02 2.206518e-02
29 1.025107e+03 1.892818e-02 2.338721e-04 1.747483e+00 7.400622e+00 1.350152e-04 0.000000e+00 1.262381e-02 2.535683e-02
30 1.041230e+03 2.136507e-02 2.502355e-04 1.784210e+00 7.031935e+00 1.426587e-04 0.000000e+00 1.205789e-02 2.899439e-02
31 1.057312e+03 2.398680e-02 2.671662e-04 1.819443e+00 6.694149e+00 1.502418e-04 0.000000e+00 1.152782e-02 3.299792e-02
32 1.073656e+03 2.676961e-02 2.846647e-04 1.844083e+00 6.385550e+00 1.575909e-04 0.000000e+00 1.097616e-02 3.738394e-02
33 1.090583e+03 2.969133e-02 3.027313e-04 1.852532e+00 6.104584e+00 1.645824e-04 0.000000e+00 1.037821e-02 4.217754e-02
34 1.107311e+03 3.277024e-02 3.213664e-04 1.850629e+00 5.843944e+00 1.713371e-04 0.000000e+00 9.775508e-03 4.740326e-02
35 1.124408e+03 3.604753e-02 3.405701e-04 1.834599e+00 5.604413e+00 1.780667e-04 0.000000e+00 9.152874e-03 5.307388e-02
36 1.142046e+03 3.952665e-02 3.603424e-04 1.806117e+00 5.384553e+00 1.847611e-04 0.000000e+00 8.524153e-03 5.921547e-02
37 1.159319e+03 4.322927e-02 3.806832e-04 1.769178e+00 5.178231e+00 1.914939e-04 0.000000e+00 7.910819e-03 6.585098e-02
38 1.176910e+03 4.720396e-02 4.015922e-04 1.719580e+00 4.987148e+00 1.984382e-04 0.000000e+00 7.295230e-03 7.300046e-02
39 1.194931e+03 5.146588e-02 4.230692e-04 1.658922e+00 4.810269e+00 2.055974e-04 0.000000e+00 6.686523e-03 8.068464e-02
40 1.213220e+03 5.602003e-02 4.451135e-04 1.590949e+00 4.645590e+00 2.129337e-04 0.000000e+00 6.100295e-03 8.892974e-02
41 1.231633e+03 6.086432e-02 4.677246e-04 1.518289e+00 4.491457e+00 2.203895e-04 0.000000e+00 5.545036e-03 9.776267e-02
42 1.250207e+03 6.596778e-02 4.909020e-04 1.439015e+00 4.347080e+00 2.278158e-04 0.000000e+00 5.011675e-03 1.071995e-01
43 1.268977e+03 7.130371e-02 5.146449e-04 1.350354e+00 4.211728e+00 2.351045e-04 0.000000e+00 4.489768e-03 1.172538e-01
44 1.287863e+03 7.688985e-02 5.389526e-04 1.250664e+00 4.084384e+00 2.423077e-04 0.000000e+00 3.974201e-03 1.279527e-01
45 1.306827e+03 8.275033e-02 5.638241e-04 1.138852e+00 3.964278e+00 2.494887e-04 0.000000e+00 3.462334e-03 1.393268e-01
46 1.325975e+03 8.889541e-02 5.892588e-04 1.014973e+00 3.851150e+00 2.566602e-04 0.000000e+00 2.955288e-03 1.513956e-01
47 1.345418e+03 9.532430e-02 6.152556e-04 8.791939e-01 3.744757e+00 2.638021e-04 0.000000e+00 2.454282e-03 1.641760e-01
48 1.365154e+03 1.020142e-01 6.418138e-04 7.309409e-01 3.644557e+00 2.708390e-04 0.000000e+00 1.958338e-03 1.776940e-01
49 1.385131e+03 1.089407e-01 6.689326e-04 5.694425e-01 3.549933e+00 2.777031e-04 0.000000e+00 1.466095e-03 1.919775e-01
50 1.405190e+03 1.160998e-01 6.966110e-04 3.937269e-01 3.460072e+00 2.843887e-04 0.000000e+00 9.758884e-04 2.070421e-01
51 1.425229e+03 1.234980e-01 7.248483e-04 2.028762e-01 3.374402e+00 2.909161e-04 0.000000e+00 4.864208e-04 2.229011e-01
52 1.445429e+03 1.311692e-01 7.536438e-04 -3.673318e-03 3.293050e+00 2.973660e-04 0.000000e+00 -2.611404e-06 2.395802e-01
53 1.465985e+03 1.391471e-01 7.829967e-04 -2.259066e-01 3.216148e+00 3.038073e-04 0.000000e+00 -4.901985e-04 2.571083e-01
54 1.486897e+03 1.474512e-01 8.129066e-04 -4.618656e-01 3.143373e+00 3.102693e-04 0.000000e+00 -9.713696e-04 2.755075e-01
